GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_Valid,T25_BestRa,T25_BestRmin8,T25_BestWhiteRatio,T25_BestRGBRatio,T25_BestRayT,T25_BestRGBPoint_x,T25_BestRGBPoint_y,T25_R_weight,T25_G_weight,T25_B_weight,T25_BoundaryEdge,T45_Valid,T45_BestRa,T45_BestRmin8,T45_BestWhiteRatio,T45_BestRGBRatio,T45_BestRayT,T45_BestRGBPoint_x,T45_BestRGBPoint_y,T45_R_weight,T45_G_weight,T45_B_weight,T45_BoundaryEdge,T60_Valid,T60_BestRa,T60_BestRmin8,T60_BestWhiteRatio,T60_BestRGBRatio,T60_BestRayT,T60_BestRGBPoint_x,T60_BestRGBPoint_y,T60_R_weight,T60_G_weight,T60_B_weight,T60_BoundaryEdge,T80_Valid,T80_BestRa,T80_BestRmin8,T80_BestWhiteRatio,T80_BestRGBRatio,T80_BestRayT,T80_BestRGBPoint_x,T80_BestRGBPoint_y,T80_R_weight,T80_G_weight,T80_B_weight,T80_BoundaryEdge,T100_Valid,T100_BestRa,T100_BestRmin8,T100_BestWhiteRatio,T100_BestRGBRatio,T100_BestRayT,T100_BestRGBPoint_x,T100_BestRGBPoint_y,T100_R_weight,T100_G_weight,T100_B_weight,T100_BoundaryEdge,T25_DeltaWhiteRatio_From25C,T25_DeltaRa_From25C,T45_DeltaWhiteRatio_From25C,T45_DeltaRa_From25C,T60_DeltaWhiteRatio_From25C,T60_DeltaRa_From25C,T80_DeltaWhiteRatio_From25C,T80_DeltaRa_From25C,T100_DeltaWhiteRatio_From25C,T100_DeltaRa_From25C
3,40,0,0.176453488372093,0.678281395348837,4,0.0654351209159106,0.565943509763092,1,-7.98752288307706,-42.7714145636845,0,1,1,0.176453488372093,0.678281395348837,0.0420942168452771,0.82403883789815,0,,1,-6.86665396023578,-41.8129212220566,0,1,1,0.176453488372093,0.678281395348837,0.0430171652654858,0.84939302914628,0.000880569471423719,,1,-6.35682783885721,-41.5671437631562,0,1,1,0.176453488372093,0.678281395348837,0.043317050577786,0.88120190926828,0.0015367671510966,,1,-6.2223729624819,-41.9172454003765,0,1,1,0.176453488372093,0.678281395348837,0.0434671412210081,0.924523362935631,0.00219126954007187,,1,-6.95710210437922,-43.3650216250772,0,1,1,0.176453488372093,0.678281395348837,0.0446869001182835,0.987606845671332,0.00257099129603563,,0,0,0,1.12086892284129,0,1.63069504421986,0,1.76514992059517,0,1.03042077869784
4,0,39,0.2033,0.0533581395348837,4,0.251476817524757,0.148505922372689,1,-185.938024120807,-347.274330957674,0,1,1,0.2033,0.0533581395348837,0.713461261001299,0,2.21110997720856,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1,38,0.202948837209302,0.0691372093023256,4,0.237107155762893,0.181740809068259,1,-73.4640484762808,-155.722273004299,0.346595123499855,0.653404876500146,1.07369998357876,0.193341958652155,0.048503956225242,0.413090878254044,0,1.62104197762952,B-R,1,-82.51837203585,-167.17917617752,0.319140869568626,0.680859130431374,1.06819811030518,0.194154611585321,0.0502829694070471,0.532898482030546,0,1.71175202812547,B-R,1,-89.8697449642235,-176.750387193173,0.29535313084606,0.70464686915394,1.06334103956668,0.194863279856245,0.0518031236488172,0.671272007082994,0,1.80915971001416,B-R,1,-97.5947349747106,-186.732386249419,0.270064652580899,0.729935347419101,1.05803501201491,0.195610242457445,0.0533944699849893,0.903755276761868,0,1.92866752762594,B-R,1,-109.825872236245,-205.513767945484,0.224428815091887,0.775571184908113,1.04832505020754,0.19696372354918,0.0562120565132125,1.46471390741478,0,2.14245358992454,B-R,0,0,-0.0274542539312286,-9.05432355956918,-0.051241992653795,-16.4056964879427,-0.0765304709189554,-24.1306864984298,-0.122166308407967,-36.3618237599642
4,2,37,0.202597674418605,0.0849162790697674,4,0.224248906324207,0.211480024248134,1,-11.5939881151072,-71.3692490877693,0.564382232925846,0.435617767074154,1.15912767412766,0.181799317345761,0.0428773380157477,0.224349626631297,0,1.25026583197739,B-R,1,-17.9863899489044,-79.280469080552,0.54227145916743,0.45772854083257,1.15372163941749,0.182721108949738,0.0448435501189195,0.295035014530063,0,1.31921126211812,B-R,1,-23.2436706679286,-85.8381856535246,0.523210469365337,0.476789530634664,1.14890555405454,0.183537417207638,0.0465159607230061,0.377274797507426,0,1.39337908561686,B-R,1,-28.7656944358242,-92.6357596442642,0.502861806149041,0.497138193850959,1.14343741657522,0.184409476421479,0.0482703541625093,0.515472267516354,0,1.48461526113365,B-R,1,-37.7393639080766,-105.268639504948,0.466835492141406,0.533164507858594,1.13349336935526,0.186017487494986,0.0513181711509224,0.854335556639742,0,1.6475325828114,B-R,0,0,-0.0221107737584157,-6.39240183379717,-0.0411717635605093,-11.6496825528214,-0.0615204267768046,-17.171706320717,-0.09754674078444,-26.1453757929694
4,3,36,0.202246511627907,0.100695348837209,4,0.212675525905203,0.238247528820241,1,25.2632880357887,-26.8826391970976,0.71391439247053,0.28608560752947,1.25932435165311,0.168261150723936,0.0362779737268023,0.0947602903996829,0,0.995691730171534,B-R,1,20.8940134871291,-33.0368205030193,0.69547244067238,0.30452755932762,1.25413163078661,0.169297459190734,0.0384573304499831,0.131718470838018,0,1.04969361892468,B-R,1,17.1981703213165,-38.0778378831511,0.679656826483042,0.320343173516958,1.24944544574109,0.170229318508506,0.0403034462119157,0.17541694759237,0,1.10790500578344,B-R,1,13.2755231797277,-43.2831347672105,0.662699829623656,0.337300170376345,1.24383740737475,0.1712417346846,0.0422463881620045,0.248877990931216,0,1.17972993282239,B-R,1,6.63948525439544,-52.5949792198093,0.633271393709689,0.366728606290311,1.23372391535045,0.173135382655024,0.0455587901180591,0.435251097640895,0,1.30772088691851,B-R,0,0,-0.0184419517981501,-4.36927454865957,-0.0342575659874884,-8.06511771447217,-0.0512145628468746,-11.987764856061,-0.080642998760841,-18.6238027813933
4,4,35,0.201895348837209,0.116474418604651,4,0.202203591754407,0.262467552280278,1,46.7433477306208,4.64584105738446,0.654398244348711,0.345601755651289,1.27931998685861,0.165191403401258,0.0514974442663253,0.0671610981195489,0.0982763777537918,0.830357499540961,,1,43.6983039969048,-0.413126804304412,0.657636961104812,0.342363038895188,1.2847482520426,0.164876751661197,0.0512313098040817,0.0850939856430409,0.0900004842375483,0.872826454767441,,1,41.1270630614669,-4.76016695331866,0.661416361540214,0.338583638459786,1.28987632221116,0.164586917906669,0.050867991447464,0.105366978907188,0.0826817138054522,0.918613717388721,,1,38.4235353352103,-9.42142360732817,0.666125569915534,0.333874430084466,1.2952154839549,0.164254001537685,0.0503681197231406,0.139132929956805,0.0742494281823799,0.974995698057758,,1,33.7068755561189,-17.9535703195484,0.674791679778453,0.325208320221547,1.3046307770825,0.163845547892269,0.0494173916884481,0.219604212474563,0.0559524899630325,1.07418823995683,,0,0,0.00323871675610121,-3.04504373371603,0.00701811719150358,-5.61628466915391,0.0117273255668231,-8.31981239541051,0.0203934354297425,-13.0364721745019
4,5,34,0.201544186046512,0.132253488372093,4,0.192683008170752,0.284487243621811,1,61.4374429320206,28.2117678783266,0.554632832008128,0.445367167991872,1.26601157770395,0.166495614105076,0.074569805694356,0.0677551835688773,0.204854000191895,0.711022231437864,,1,59.2906492204586,24.5504158433603,0.557485973937767,0.442514026062233,1.27119328951882,0.166192564052561,0.0743953460763548,0.0841592240371452,0.201466945599353,0.747527233423291,,1,57.4200514194094,21.3661166455488,0.560050018654625,0.439949981345375,1.27562301980199,0.165973432881647,0.0742220230284346,0.10302256377236,0.200304826154904,0.786944970021578,,1,55.4297709813994,17.9512090500989,0.563073486010171,0.436926513989829,1.28002855584415,0.165740907108837,0.0739665213169319,0.13462243853213,0.200143861379398,0.835504097437897,,1,51.7584630514812,11.3681742133514,0.568403902711181,0.431596097288819,1.28755068777411,0.16552679059648,0.0734935084092476,0.210821865834566,0.195288949735603,0.920946221729017,,0,0,0.00285314192963915,-2.14679371156205,0.00541718664649671,-4.0173915126112,0.00844065400204252,-6.0076719506212,0.0137710707030525,-9.67897988053947
4,6,33,0.201193023255814,0.148032558139535,4,0.183989766176704,0.304593417133572,1,71.3141579899694,46.0491564429623,0.462604500665008,0.537395499334992,1.24403341316431,0.168954506818113,0.0989653840261099,0.0735921996638229,0.296601463832462,0.618754299232007,,1,69.968239957576,43.2986097064529,0.467664636891216,0.532335363108784,1.25049567784506,0.1684514905172,0.0985427678705823,0.0887630947108959,0.295804048456341,0.650386311977615,,1,68.7285552844538,40.8350816949285,0.471627181054981,0.528372818945019,1.25575207209608,0.1680969208098,0.0982203813068687,0.106229359528682,0.298268628535585,0.68457964619815,,1,67.3760754495046,38.2271681498515,0.4746547795203,0.5253452204797,1.26010770577893,0.167845400670031,0.0979963041706473,0.136561510518762,0.304015241778021,0.726887694294233,,1,64.621677109961,32.9190412341566,0.479233663843369,0.520766336156631,1.26704347191948,0.167650500088737,0.0976768537741408,0.210063406375751,0.308750303225133,0.801345311471553,,0,0,0.00506013622620743,-1.34591803239339,0.00902268038997311,-2.58560270551561,0.0120502788552921,-3.93808254046476,0.0166291631783606,-6.6924808800084
4,7,32,0.200841860465116,0.163811627906977,4,0.176020512151575,0.323025114341385,1,77.3949682799322,59.9177707556774,0.38126716745895,0.61873283254105,1.21788697603956,0.171980956990035,0.123439704816335,0.0810976543820374,0.374778019060518,0.54510795231592,,1,76.6127900579242,58.0156860373051,0.384249444317925,0.615750555682075,1.22268992822649,0.171656532778595,0.12332918837317,0.0977597650913688,0.378526611729626,0.573389873014697,,1,75.8464119550385,56.2503814230514,0.385872160820349,0.614127839179651,1.22608256818814,0.171505807035755,0.123345477068372,0.117192612627789,0.386338499218076,0.603980260743316,,1,74.9956586158474,54.3503065555995,0.3869631328824,0.6130368671176,1.22883233747448,0.171423600893979,0.123402497950118,0.150326510148247,0.398580687955513,0.641725502392324,,1,73.0648288409943,50.0383638150306,0.38991271103934,0.61008728896066,1.2341977765132,0.171342744252307,0.123344975355455,0.228966149833343,0.412500870780163,0.707870165171508,,0,0,0.0029822768589754,-0.782178222008,0.00460499336139897,-1.54855632489365,0.00569596542345002,-2.39930966408475,0.00864554358038994,-4.33013943893786
4,8,31,0.200490697674419,0.179590697674419,4,0.16868841921746,0.339983152877365,1,80.6733403012627,69.0770489789806,0.3194652301603,0.6805347698397,1.19666667924266,0.174371533213512,0.146253866085306,0.085203829735669,0.436160091754329,0.483772565360684,,1,80.2151092031777,68.9922088054864,0.31988187010197,0.68011812989803,1.19936620253047,0.174292124092589,0.146494053485035,0.103048824922651,0.444070803849637,0.50934728270973,,1,79.7236496643288,68.130655834671,0.318676260613841,0.681323739386159,1.20041163603642,0.174415279531791,0.146881654378986,0.124195070741717,0.456751366389893,0.537047138554375,,1,79.1594006799345,66.828599312926,0.316826324641895,0.683173675358105,1.20070148910741,0.174618408737877,0.14731603123535,0.160067630052079,0.475120447416361,0.571195446039425,,1,77.7899670080168,63.487696404511,0.314082581651692,0.685917418348308,1.20131184952597,0.17506313841092,0.147982864630473,0.247030250850692,0.49956569575077,0.631213202320246,,0,0,0.000416639941669461,-0.458231098084923,-0.000788969546459517,-0.949690636933838,-0.00263890551840551,-1.51393962132818,-0.00538264850860859,-2.88337329324587
4,9,30,0.200139534883721,0.19536976744186,4,0.161920010837314,0.355637473024307,1,81.8802951462816,67.1148669824263,0.273051003891659,0.726948996108341,1.18037252277362,0.176121045856989,0.167641057568774,0.0865019527644484,0.484475398716271,0.431694830021405,,1,81.6136227271664,67.1443841682093,0.271871936917672,0.728128063082328,1.18160130693119,0.176211662216744,0.168087760868726,0.104595912924915,0.495440105028796,0.454867195464048,,1,81.2877499486097,67.0156035400379,0.26882804939683,0.73117195060317,1.18093231202813,0.176535021301967,0.168694874602271,0.126281411397351,0.511732212511501,0.480001275929422,,1,80.8913121683304,66.657737077449,0.264598744058747,0.735401255941253,1.17905655458258,0.176994601356258,0.16940115368969,0.163312584278585,0.534977173906732,0.511037490583855,,1,79.9193307864099,65.9756683805709,0.258140435764407,0.741859564235594,1.17623558327506,0.177817453936064,0.170479975030905,0.253573776336612,0.567212062250751,0.56557882734895,,0,0,-0.0011790669739874,-0.266672419115153,-0.00422295449482968,-0.592545197671882,-0.00845225983291276,-0.988982977951196,-0.0149105681272528,-1.96096435987171
4,10,29,0.199788372093023,0.211148837209302,4,0.155652689891335,0.370132852593864,1,81.6127611175542,65.047283333713,0.238566361455269,0.761433638544731,1.16862557276105,0.177274897366949,0.187886743370668,0.0856248805914614,0.52265824610125,0.386800291207152,,1,81.4431092737238,65.0421582481069,0.236090272655966,0.763909727344034,1.16855525948043,0.177520262370781,0.188486386577671,0.103463847978655,0.536090548330003,0.407866466858169,,1,81.2030200988776,64.9107929951079,0.231540953844662,0.768459046155338,1.16634186370418,0.178028922112799,0.189249737431875,0.125076868123817,0.555301575950746,0.430753823001447,,1,80.8953325409989,64.5791878745296,0.225361215211538,0.774638784788462,1.16250779265239,0.178725472539778,0.190144516046432,0.1621941423739,0.582484544485074,0.459066568339791,,1,80.2125318650251,63.9855459930965,0.216341360050287,0.783658639949713,1.15702001305504,0.179845004620928,0.191450493990137,0.252628000767099,0.620695003663354,0.508724863839023,,0,0,-0.00247608879930261,-0.169651843830465,-0.00702540761060669,-0.409741018676598,-0.0132051462437304,-0.717428576555349,-0.0222250014049816,-1.40022925252916
4,11,28,0.199437209302326,0.226927906976744,4,0.149832796955751,0.383593397838416,1,80.3260783001334,63.4834448675567,0.203363973493787,0.796636026506213,1.152331416292,0.179045700806549,0.208317259015153,0.0870576519708788,0.558746148863348,0.348812021937923,,1,80.3350231001111,63.2022336692268,0.204673992249476,0.795326007750524,1.15525875649483,0.17887120113677,0.208503025383314,0.102785064109797,0.571455418927533,0.367482130807622,,1,80.1741982781807,62.9159590124474,0.20102860950209,0.79897139049791,1.15350578213905,0.179302962528738,0.20914087070912,0.12311341745455,0.591818599142391,0.388128783011165,,1,79.905036560625,62.4809112067098,0.194510219730992,0.805489780269009,1.14898996425943,0.180074057761223,0.210021703892766,0.159039305330267,0.621461844039549,0.413868613016155,,1,79.3826526193748,61.8521299542622,0.183840553143336,0.816159446856664,1.14147567511299,0.181418472504098,0.211411973575224,0.247888716522222,0.664297053027043,0.459156964583419,,0,0,0.00131001875568937,0.00894479997765529,-0.00233536399169712,-0.151880021952692,-0.00885375376279557,-0.421041739508354,-0.0195234203504512,-0.943425680758651
4,12,27,0.199086046511628,0.242706976744186,4,0.144414070111009,0.396126105685249,1,78.4153825566867,62.1546247554832,0.173505258081228,0.826494741918772,1.13717406143708,0.180675373410101,0.228112613635616,0.0879999749763461,0.589694754962051,0.315671044763851,,1,78.501280925696,61.8678982617123,0.171401290720135,0.828598709279864,1.13684318631403,0.180911361929316,0.228626767592377,0.105072971448692,0.605798039860595,0.333128620527595,,1,78.4573091245387,61.4814445092113,0.167526190005433,0.832473809994567,1.13457253205983,0.1813878807895,0.229237205163128,0.125460705622421,0.627935631482619,0.352036612880065,,1,78.3049482863069,60.8784020058645,0.162093355372053,0.837906644627947,1.13067608950465,0.182057128661876,0.229940834493229,0.160467198514351,0.65903238751851,0.375412659821972,,1,77.9705820574331,60.0393442208609,0.152897470315207,0.847102529684793,1.12390795653206,0.183261271514253,0.231072884099941,0.246770430427308,0.704100075118735,0.41650913262266,,0,0,-0.00210396736109222,0.0858983690092856,-0.00597906807579487,0.0419265678519878,-0.0114119027091744,-0.110434270379798,-0.0206077877660208,-0.444800499253603
