GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_DeltaWhiteRatio_Q10000,T45_DeltaWhiteRatio_Q10000,T60_DeltaWhiteRatio_Q10000,T80_DeltaWhiteRatio_Q10000,T100_DeltaWhiteRatio_Q10000
0,18,25,0.145779069767442,0.312423255813953,4,0.0903003312524714,0.435431697814771,0,0,0,0,0
0,19,24,0.145427906976744,0.328202325581395,4,0.0875073816074132,0.444345828657149,0,0,0,0,0
0,20,23,0.145076744186047,0.343981395348837,4,0.0848696915628918,0.452764424466818,0,0,0,0,0
0,21,22,0.144725581395349,0.359760465116279,4,0.082374664945895,0.460727687878487,0,0,0,0,0
0,22,21,0.144374418604651,0.375539534883721,4,0.0800110322713268,0.468271587197152,0,0,0,0,0
0,23,20,0.144023255813953,0.391318604651163,4,0.0777686805569508,0.475428399570031,0,0,0,0,0
0,24,19,0.143672093023256,0.407097674418605,4,0.0756385086802654,0.482227172637467,0,0,0,0,0
0,25,18,0.143320930232558,0.422876744186046,4,0.0736123039141325,0.488694118588576,0,0,0,0,0
0,26,17,0.14296976744186,0.438655813953488,4,0.0716826361094998,0.49485295189345,0,0,0,0,0
0,27,16,0.142618604651163,0.45443488372093,4,0.0698427666509502,0.500725179885611,0,0,0,0,0
0,28,15,0.142267441860465,0.470213953488372,4,0.0680865698336707,0.506330353699574,0,0,0,0,0
0,29,14,0.141916279069767,0.485993023255814,4,0.0664084647286649,0.511686285733563,0,0,0,0,0
0,30,13,0.14156511627907,0.501772093023256,4,0.0648033559394028,0.516809238733826,0,0,0,0,0
0,31,12,0.141213953488372,0.517551162790698,4,0.0632665819250245,0.521714090729125,0,0,0,0,0
0,32,11,0.140862790697674,0.533330232558139,4,0.0617938697861327,0.526414479338877,0,0,0,0,0
0,33,10,0.140511627906977,0.549109302325581,4,0.0603812955895271,0.530922928402894,0,0,0,0,0
0,34,9,0.140160465116279,0.564888372093023,4,0.0590252494560861,0.535250959408817,0,0,0,0,0
0,35,8,0.139809302325581,0.580667441860465,4,0.0577224047577441,0.539409189804724,0,0,0,0,0
0,36,7,0.139458139534884,0.596446511627907,4,0.0564696908701824,0.543407419963133,0,0,0,0,0
0,37,6,0.139106976744186,0.612225581395349,4,0.055264269011413,0.547254710295899,0,0,0,0,0
0,38,5,0.138755813953488,0.628004651162791,4,0.0541035107660682,0.550959449797265,0,0,0,0,0
0,39,4,0.138404651162791,0.643783720930233,4,0.0529849789534412,0.554529417106472,0,0,0,0,0
0,40,3,0.138053488372093,0.659562790697674,4,0.0519064105461921,0.557971835025351,0,0,0,0,0
0,41,2,0.137702325581395,0.675341860465116,4,0.0508657013877853,0.561293419294983,0,0,0,0,0
0,42,1,0.137351162790698,0.691120930232558,4,0.049860892491487,0.564500422324571,0,0,0,0,0
0,43,0,0.137,0.7069,4,0.0488901577332096,0.567598672471629,0,0,0,0,0
1,0,42,0.1649,0.0346395348837209,4,0.213748166815633,0.101026733970093,0,0,0,0,0
1,1,41,0.164548837209302,0.0504186046511628,4,0.200918895281149,0.138515796707197,0,0,0,0,292
1,2,40,0.164197674418605,0.0661976744186046,4,0.189496567966344,0.171893556633588,0,0,0,0,0
1,3,39,0.163846511627907,0.0819767441860465,4,0.179261773483995,0.20180116685283,0,0,0,0,0
1,4,38,0.163495348837209,0.0977558139534884,4,0.170038468654879,0.228753052036081,0,0,0,0,0
1,5,37,0.163144186046512,0.11353488372093,4,0.161683768011727,0.253166745028625,0,0,0,0,0
1,6,36,0.162793023255814,0.129313953488372,4,0.154080488296103,0.275384672952327,0,0,0,0,0
1,7,35,0.162441860465116,0.145093023255814,4,0.147131618026519,0.295690317960168,0,0,0,0,0
1,8,34,0.162090697674419,0.160872093023256,4,0.140756156150698,0.314320377320768,0,0,0,0,0
1,9,33,0.161739534883721,0.176651162790698,4,0.134885940039488,0.331474032497682,0,0,0,0,0
1,10,32,0.161388372093023,0.19243023255814,4,0.129463198867988,0.347320098538066,0,0,0,0,0
1,11,31,0.161037209302326,0.208209302325581,4,0.124438645957442,0.36200259853684,0,0,0,0,0
1,12,30,0.160686046511628,0.223988372093023,4,0.119769976468957,0.37564515360181,0,0,0,0,0
1,13,29,0.16033488372093,0.239767441860465,4,0.11542067339887,0.388354471914928,0,0,0,0,0
1,14,28,0.159983720930233,0.255546511627907,4,0.111359050502745,0.400223145452471,0,0,0,0,0
1,15,27,0.159632558139535,0.271325581395349,4,0.107557479054011,0.411331909512699,0,0,0,0,0
1,16,26,0.159281395348837,0.287104651162791,4,0.103991758519145,0.421751481697702,0,0,0,0,0
1,17,25,0.15893023255814,0.302883720930233,4,0.100640600839408,0.431544068919814,0,0,0,0,0
1,18,24,0.158579069767442,0.318662790697674,4,0.0974852050914929,0.440764610307221,0,0,0,0,0
1,19,23,0.158227906976744,0.334441860465116,4,0.0945089045729264,0.449461808473547,0,0,0,0,0
1,20,22,0.157876744186047,0.350220930232558,4,0.0916968723217596,0.457678990033653,0,0,0,0,0
1,21,21,0.157525581395349,0.366,4,0.0890358740857971,0.465454827464733,0,0,0,0,0
1,22,20,0.157174418604651,0.381779069767442,4,0.0865140600548513,0.47282394769602,0,0,0,0,0
1,23,19,0.156823255813954,0.397558139534884,4,0.0841207884405957,0.479817447635015,0,0,0,0,0
1,24,18,0.156472093023256,0.413337209302326,4,0.0818464753635212,0.486463332820396,0,0,0,0,0
1,25,17,0.156120930232558,0.429116279069767,4,0.0796824665813644,0.492786892250865,0,0,0,0,0
1,26,16,0.15576976744186,0.444895348837209,4,0.0776209274391908,0.498811019967564,0,0,0,0,0
