index,name,R_hex,G_hex,B_hex,R,G,B,x,y
220,品红色 220,DA,1F,A8,218,31,168,0.3664,0.1790
221,品红色 221,D0,1D,B8,208,29,184,0.3502,0.1689
222,品红色 222,CD,1C,BC,205,28,188,0.3465,0.1668
223,品红色 223,C5,1B,C8,197,27,200,0.3350,0.1597
224,品红色 224,C5,19,C9,197,25,201,0.3339,0.1579
225,红色 225,A3,15,01,163,21,1,0.6439,0.3337
226,红色 226,A3,15,02,163,21,2,0.6395,0.3312
227,红色 227,A5,16,03,165,22,3,0.6294,0.3265
228,红色 228,A9,17,07,169,23,7,0.6119,0.3183
229,红色 229,B4,1A,0E,180,26,14,0.5864,0.3068
230,红色 230,C4,1D,18,196,29,24,0.5568,0.2913
231,红色 231,E9,25,2B,233,37,43,0.5233,0.2747
232,红色 232,B7,1D,2F,183,29,47,0.4923,0.2556
233,玫红色 233,B7,1D,3E,183,29,62,0.4629,0.2387
234,玫红色 234,F9,26,67,249,38,103,0.4409,0.2247
235,玫红色 235,B0,1A,59,176,26,89,0.4169,0.2092
236,玫红色 236,EF,22,83,239,34,131,0.4078,0.2028
237,品红色 237,EC,21,8A,236,33,138,0.4004,0.1983
238,品红色 238,E7,1F,94,231,31,148,0.3893,0.1909
239,品红色 239,E7,1F,94,231,31,148,0.3892,0.1902
240,品红色 240,E7,1E,95,231,30,149,0.3892,0.1895
241,红色 241,9A,12,00,154,18,0,0.6514,0.3319
242,红色 242,9D,13,01,157,19,1,0.6449,0.3303
243,红色 243,A0,14,03,160,20,3,0.6334,0.3261
244,红色 244,A6,16,06,166,22,6,0.6179,0.3202
245,红色 245,B1,19,0D,177,25,13,0.5893,0.3073
246,红色 246,C0,1C,17,192,28,23,0.5601,0.2925
247,红色 247,E1,23,28,225,35,40,0.5274,0.2759
248,红色 248,AF,1B,28,175,27,40,0.5036,0.2619
249,红色 249,B4,1D,34,180,29,52,0.4803,0.2491
250,玫红色 250,B5,1C,40,181,28,64,0.4593,0.2356
251,玫红色 251,B2,1B,49,178,27,73,0.4410,0.2245
252,玫红色 252,B1,1A,4E,177,26,78,0.4330,0.2182
253,玫红色 253,B4,1A,53,180,26,83,0.4280,0.2146
254,玫红色 254,F6,22,74,246,34,116,0.4268,0.2132
255,玫红色 255,B1,18,52,177,24,82,0.4296,0.2137
256,玫红色 256,F7,22,72,247,34,114,0.4292,0.2137
