wavelength_nm,R_W_nm,G_W_nm,B_W_nm,W_W_nm,RGB_target_W_nm
404.4,8.58250451527716e-08,1.41543331655212e-07,7.69194002072093e-07,6.47567945029643e-07,5.13192805399279e-07
404.6,3.80745652382852e-08,6.5712554643286e-08,6.81073798995113e-07,6.43594094217521e-07,3.78434065927387e-07
404.8,3.24077548969028e-09,1.66225087344349e-08,6.2579684902808e-07,6.45241544931089e-07,2.88990934418082e-07
405,3.89610602969511e-08,9.28584937047027e-08,7.15832490683381e-07,6.69384186297197e-07,4.15772219347409e-07
405.2,7.6579458234869e-08,1.52242418634086e-07,8.03852409018041e-07,6.93736503208669e-07,5.29779041287283e-07
405.4,8.5063772490285e-08,1.29017814716325e-07,8.23197335811656e-07,7.08054347592043e-07,5.26294309965061e-07
405.6,6.75803407951605e-08,9.81251991139859e-08,8.33647005961447e-07,7.15363038030418e-07,4.93137949529797e-07
405.8,2.44889290813757e-08,8.51834956760143e-08,8.50855867743637e-07,7.17479762583609e-07,4.57694208423735e-07
406,0,7.33586092463785e-08,8.47476271927437e-07,7.3170774601897e-07,4.28265603118503e-07
406.2,0,6.31365897652568e-08,8.2056987556286e-07,7.62869525879857e-07,4.08422884210341e-07
406.4,1.69716099964552e-09,7.38416650390814e-08,7.94816753734968e-07,7.95109637116897e-07,4.06932472336284e-07
406.6,5.94229961297682e-09,1.00523511241806e-07,7.83364236161973e-07,8.2218773611809e-07,4.262665309722e-07
406.8,5.21700354367817e-09,9.56610157417061e-08,8.018366856974e-07,8.3555704827244e-07,4.29937664131648e-07
407,4.45930866393949e-09,6.3932034944563e-08,8.47446186504741e-07,8.38422614059071e-07,4.2417919755545e-07
407.2,3.11018641938904e-08,6.26255885961165e-08,9.06965181071929e-07,8.50953224031968e-07,4.69376411444488e-07
407.4,6.82303046610434e-08,8.08689291639181e-08,9.58621851841193e-07,8.70502972499644e-07,5.34571145811437e-07
407.6,5.39887416670044e-08,5.34545148788711e-08,9.47319761381679e-07,8.78959886162627e-07,4.97126596053679e-07
407.8,1.03934588828792e-08,1.26842067550845e-08,9.03886439482691e-07,8.83862300104215e-07,4.12787949743626e-07
408,0,4.90720810239985e-08,9.00306274181851e-07,9.04240766203564e-07,4.32126000454436e-07
408.2,3.5458808518096e-09,1.20394669987084e-07,9.3085300669266e-07,9.35132963220413e-07,5.04600914148008e-07
408.4,3.6722958422382e-08,1.45216152558408e-07,9.86992405443649e-07,9.66744047821363e-07,5.73958877211613e-07
408.6,6.9340411141458e-08,1.39826687102632e-07,1.04165761848253e-06,9.93632440376752e-07,6.18341707133538e-07
408.8,6.18648328552639e-08,1.23987646957601e-07,1.04436530652518e-06,1.00424601679204e-06,6.01314561891189e-07
409,3.71026009250842e-08,1.01631345807716e-07,1.03915049992452e-06,1.01073597414852e-06,5.62543120515503e-07
409.2,1.06170703046279e-08,7.21569580595721e-08,1.08508091190728e-06,1.02760986327537e-06,5.39173086360796e-07
409.4,5.02797735515994e-10,5.69576674251255e-08,1.13973609647193e-06,1.05187231923883e-06,5.43341583134952e-07
409.6,4.72197754735362e-08,9.62867925640712e-08,1.17644031216121e-06,1.08781669844395e-06,6.25970614552639e-07
409.8,8.08121739914365e-08,1.22929714849615e-07,1.18115369505027e-06,1.12366123215129e-06,6.74620036901353e-07
410,3.87662699028945e-08,7.79007309666074e-08,1.1204814259464e-06,1.14832307010591e-06,5.80557188087316e-07
410.2,0,3.1149114236068e-08,1.07625585458308e-06,1.16789278767315e-06,4.94806185278746e-07
410.4,1.08406817263766e-08,2.25848544071767e-08,1.10704327047546e-06,1.18436729480883e-06,5.0971017402302e-07
410.6,2.95634176122594e-08,2.99853889172838e-08,1.14404834039171e-06,1.20273886640256e-06,5.45948462658492e-07
410.8,3.88626712713817e-08,4.76927770869832e-08,1.15558108575856e-06,1.2260028673881e-06,5.72059684961437e-07
411,3.46190234008621e-08,6.20676791165279e-08,1.18496451525845e-06,1.25196269681402e-06,5.93048383519977e-07
411.2,1.31572960556931e-08,6.38062807505949e-08,1.24493479116608e-06,1.28081804567591e-06,6.04325438551528e-07
411.4,0,4.95860763406142e-08,1.27361622746973e-06,1.30977324003559e-06,5.95611529022521e-07
411.6,0,2.2742546174216e-08,1.25676839075989e-06,1.33812936140853e-06,5.67010091722791e-07
411.8,0,2.29211969735834e-08,1.27552163757382e-06,1.37567126857832e-06,5.75343732550322e-07
412,0,5.24804189001975e-08,1.34150899802068e-06,1.42070158808252e-06,6.27560505188691e-07
412.2,0,5.29984064134471e-08,1.37931634587549e-06,1.45025585542895e-06,6.44486365934968e-07
412.4,0,2.641636512657e-08,1.39445934196587e-06,1.46693005356022e-06,6.30066900798858e-07
412.6,2.88508425482869e-08,3.71543760226243e-08,1.48200792201163e-06,1.49538602043094e-06,6.98716417331875e-07
412.8,8.00896606420529e-08,7.61930688564532e-08,1.60967039898556e-06,1.53702159301021e-06,8.2428389527939e-07
413,8.13339339755168e-08,7.99028175785124e-08,1.63253532023463e-06,1.58654495991505e-06,8.38152703573198e-07
413.2,4.72456150156049e-08,6.05706053788123e-08,1.5878083251597e-06,1.63866430976248e-06,7.7743197901289e-07
413.4,3.55542160580422e-08,7.05850306349708e-08,1.61578776826711e-06,1.68419385675563e-06,7.88701589198729e-07
413.6,3.70290576130424e-08,9.46240426660485e-08,1.68307883036413e-06,1.72652834781945e-06,8.38239571621347e-07
413.8,1.43687730473004e-08,9.00719404542348e-08,1.68568623366446e-06,1.77555248723532e-06,8.1856992087363e-07
414,0,8.02201972109081e-08,1.68498424046822e-06,1.82377786266887e-06,7.99556887175109e-07
414.2,6.21222344474102e-08,1.15254716820927e-07,1.80963817517254e-06,1.8570264134336e-06,9.28905627650617e-07
414.4,1.35896114710739e-07,1.5204280880239e-07,1.96116842081874e-06,1.89067434618951e-06,1.08023019115805e-06
414.6,1.19557573494968e-07,1.21841841266876e-07,1.99566637217698e-06,1.94938349889121e-06,1.05899586945254e-06
414.8,7.94585795184511e-08,7.99636985771795e-08,2.00429086001654e-06,2.01528152743394e-06,9.99176632921595e-07
415,8.3459733224941e-08,8.68133099518073e-08,2.08572207078075e-06,2.07379098914006e-06,1.043207841089e-06
415.2,8.97993654886517e-08,1.03856995431119e-07,2.16685242731799e-06,2.12341420154269e-06,1.09694995740653e-06
415.4,6.76767421636477e-08,1.06911025856059e-07,2.18390083351247e-06,2.1495737219642e-06,1.09001585874132e-06
415.6,5.71640238558358e-08,1.10104783163186e-07,2.21859935435534e-06,2.19100960354788e-06,1.09971841431185e-06
415.8,9.02475821606902e-08,1.21622270452011e-07,2.33101855049657e-06,2.2807707060629e-06,1.18306337095301e-06
416,9.88978657824707e-08,1.1231047180342e-07,2.42789361157812e-06,2.36723690715078e-06,1.2245826922177e-06
