wavelength_nm,S_single_white_W_nm,S_RGB_target_W_nm,S_best_Ra_single_white_W_nm,S_best_Ra_RGB_point_W_nm,S_best_Ra_blend_W_nm,S_best_Rmin8_single_white_W_nm,S_best_Rmin8_RGB_point_W_nm,S_best_Rmin8_blend_W_nm
396,1.16820180055671e-07,1.80866882302556e-07,1.05652941578872e-07,2.87832911850194e-08,1.34436232763892e-07,1.06829315938939e-07,2.70899428077385e-08,1.33919258746678e-07
396.2,1.64853764755995e-07,1.63927839963926e-07,1.49094832489746e-07,2.66288291108633e-08,1.7572366160061e-07,1.50754903052272e-07,2.51000970792096e-08,1.75855000131482e-07
396.4,2.90648803992778e-07,3.90487365318458e-07,2.62864695924832e-07,5.19177621581227e-08,3.14782458082955e-07,2.65791517306533e-07,4.81480176124071e-08,3.1393953491894e-07
396.6,4.44044381742215e-07,7.46780786722646e-07,4.01596668488949e-07,9.16866565204435e-08,4.93283325009393e-07,4.06068176966031e-07,8.43926245069122e-08,4.90460801472943e-07
396.8,4.44923563386744e-07,6.00729486686103e-07,4.02391806168777e-07,7.76166680072396e-08,4.80008474176017e-07,4.06872167968496e-07,7.17921590241496e-08,4.78664326992645e-07
397,3.81564833725321e-07,2.76187347506773e-07,3.45089753045423e-07,4.30178403658439e-08,3.88107593411267e-07,3.4893209506958e-07,4.04216549151511e-08,3.89353749984732e-07
397.2,5.27148666370915e-07,6.95141032099343e-07,4.76756731798608e-07,8.29027354521503e-08,5.59659467250758e-07,4.82065096969476e-07,7.60858742870593e-08,5.58150971256535e-07
397.4,6.85876985242901e-07,1.29260772564796e-06,6.2031167061742e-07,1.40863652043132e-07,7.61175322660552e-07,6.27218423365234e-07,1.28039757343182e-07,7.55258180708415e-07
397.6,4.44937976200588e-07,9.12477766723141e-07,4.02404841212709e-07,1.00449318785081e-07,5.0285415999779e-07,4.06885348148864e-07,9.14079288197488e-08,4.98293276968613e-07
397.8,8.06180742404843e-08,2.2549790017132e-07,7.29115182314562e-08,3.08836370174944e-08,1.03795155248951e-07,7.37233388899184e-08,2.87167382463275e-08,1.02440077136246e-07
398,0,2.29224033379929e-07,0,3.5286792890476e-08,3.5286792890476e-08,0,3.31274323107844e-08,3.31274323107844e-08
398.2,0,3.91479700797031e-07,0,5.86151837890115e-08,5.86151837890115e-08,0,5.49089615359198e-08,5.49089615359198e-08
398.4,2.00021030537131e-07,3.02867227484984e-07,1.80900339682873e-07,4.80457416821112e-08,2.28946081364984e-07,1.82914543150851e-07,4.52084760289934e-08,2.28123019179845e-07
398.6,4.04351492413835e-07,2.65381622891511e-07,3.65698157501297e-07,4.23799343799436e-08,4.08078091881241e-07,3.69769960231815e-07,3.98969607428988e-08,4.09666920974714e-07
398.8,4.35396693435379e-07,6.74216531103082e-07,3.93775642129983e-07,8.5362457459695e-08,4.79138099589678e-07,3.98160068745069e-07,7.88059638713195e-08,4.76966032616388e-07
399,3.90947575538238e-07,9.19819171767969e-07,3.535755666449e-07,1.10433379654883e-07,4.64008946299783e-07,3.57512392489324e-07,1.01421413882654e-07,4.58933806371978e-07
399.2,3.02697916366971e-07,5.01373796511807e-07,2.73761992651657e-07,6.29426604832498e-08,3.36704653134907e-07,2.76810148094407e-07,5.80610250136508e-08,3.34871173108058e-07
399.4,1.91113911581089e-07,1.29834416956133e-07,1.72844682533138e-07,2.10906122022608e-08,1.93935294735399e-07,1.74769191683261e-07,1.98798231620612e-08,1.94649014845322e-07
399.6,7.39680019325269e-08,1.76392755837642e-07,6.68971489614118e-08,2.61499269995382e-08,9.30470759609499e-08,6.76420036679986e-08,2.44770742707092e-08,9.21190779387077e-08
399.8,8.97860651271156e-08,4.2938169443579e-07,8.12031096763529e-08,5.40802300260336e-08,1.35283339702387e-07,8.21072516221749e-08,4.99015009397495e-08,1.32008752561924e-07
400,3.08390977835638e-07,9.02634795900537e-07,2.78910835004643e-07,9.9816381047003e-08,3.78727216051646e-07,2.82016319339874e-07,9.0877538598229e-08,3.72893857938103e-07
400.2,3.62121947848783e-07,9.94221821874023e-07,3.27505478781682e-07,1.08426520436704e-07,4.35931999218386e-07,3.31152031752784e-07,9.85637862306668e-08,4.29715817983451e-07
400.4,1.29285822749976e-07,4.98606519060247e-07,1.16926951075321e-07,6.05840267559463e-08,1.77510977831267e-07,1.18228853939456e-07,5.57069412590449e-08,1.73935795198501e-07
400.6,2.51287409382827e-08,2.03846086977322e-07,2.27265990947607e-08,3.31132443167177e-08,5.58398434114784e-08,2.29796444720788e-08,3.12122490815089e-08,5.41918935535877e-08
400.8,1.43344081374124e-07,2.41188669625741e-07,1.29641332926213e-07,3.9179262463006e-08,1.68820595389219e-07,1.31084801870666e-07,3.69300237430305e-08,1.68014825613697e-07
401,1.65877074538971e-07,2.18044095490979e-07,1.50020320608891e-07,3.54196026662692e-08,1.8543992327516e-07,1.5169069585842e-07,3.3386201914064e-08,1.85076897772484e-07
401.2,5.2183033806221e-08,1.31281521670025e-07,4.71946800587844e-08,2.13256833417343e-08,6.85203634005187e-08,4.77201610413584e-08,2.01013991238408e-08,6.78215601651993e-08
401.4,0,1.10430471987469e-07,0,1.79385891245404e-08,1.79385891245404e-08,0,1.69087542909025e-08,1.69087542909025e-08
401.6,0,1.59723045134882e-07,0,2.59457922150346e-08,2.59457922150346e-08,0,2.44562725864913e-08,2.44562725864913e-08
401.8,0,2.1135009852829e-07,0,3.43322138418492e-08,3.43322138418492e-08,0,3.23612388958946e-08,3.23612388958946e-08
402,0,2.39450323711569e-07,0,3.88968814086699e-08,3.88968814086699e-08,0,3.66638538769933e-08,3.66638538769933e-08
402.2,0,1.79331769072493e-07,0,2.91310800766427e-08,2.91310800766427e-08,0,2.74586965465811e-08,2.74586965465811e-08
402.4,4.20162349201501e-08,1.17065310581351e-07,3.79997600694272e-08,1.90163681225039e-08,5.70161281919312e-08,3.84228618095808e-08,1.79246591722696e-08,5.63475209818503e-08
402.6,3.38340805004982e-07,5.17710762637171e-07,3.05997656294527e-07,6.3530201585424e-08,3.69527857879951e-07,3.09404734145139e-07,5.84732068735152e-08,3.67877941018654e-07
402.8,6.78166129835972e-07,1.04945645626175e-06,6.13337922114009e-07,1.24163212707574e-07,7.37501134821584e-07,6.20167026868209e-07,1.13860695513129e-07,7.34027722381338e-07
403,6.88341576410349e-07,1.00556314536924e-06,6.22540663129726e-07,1.22996333531962e-07,7.45536996661687e-07,6.29472234208208e-07,1.13169546383626e-07,7.42641780591834e-07
403.2,5.51881054928468e-07,7.22856401562376e-07,4.99124867185249e-07,9.44601232321508e-08,5.935849904174e-07,5.04682286481427e-07,8.74633538214559e-08,5.92145640302883e-07
403.4,5.06941901360607e-07,6.30851788808328e-07,4.58481600206492e-07,8.1025502763132e-08,5.39507102969624e-07,4.63586484093161e-07,7.49035573091912e-08,5.38490041402353e-07
403.6,4.93710938251147e-07,6.47998118693533e-07,4.46515429877274e-07,7.78526905556483e-08,5.24368120432923e-07,4.5148707851509e-07,7.15045051369778e-08,5.22991583652067e-07
403.8,5.00326419805877e-07,8.01997235408575e-07,4.52498515041883e-07,9.15543628948913e-08,5.44052877936774e-07,4.57536781304126e-07,8.3644059906372e-08,5.41180841210498e-07
404,4.48137620874118e-07,8.92781116351943e-07,4.05298620965526e-07,1.01277486722571e-07,5.06576107688097e-07,4.0981134819062e-07,9.24646267881354e-08,5.02275974978755e-07
404.2,2.0614647642114e-07,6.59896691149366e-07,1.86440233353807e-07,8.20980462883703e-08,2.68538279642177e-07,1.88516119807366e-07,7.56646474549992e-08,2.64180767262365e-07
404.4,0,4.00340484096353e-07,0,5.91110017869345e-08,5.91110017869345e-08,0,5.53116412779991e-08,5.53116412779991e-08
404.6,0,3.03124022440961e-07,0,4.71411781176837e-08,4.71411781176837e-08,0,4.4290981519475e-08,4.4290981519475e-08
404.8,0,2.45975946855346e-07,0,3.99569191885599e-08,3.99569191885599e-08,0,3.76630360442639e-08,3.76630360442639e-08
405,0,2.42248969620511e-07,0,3.93515001218026e-08,3.93515001218026e-08,0,3.70923734257181e-08,3.70923734257181e-08
405.2,6.46429113749881e-09,2.44196645147384e-07,5.84634755376606e-09,3.96678851774463e-08,4.55142327312123e-08,5.91144269697279e-09,3.73905951604404e-08,4.33020378574132e-08
405.4,5.1021361010336e-08,2.48733636970498e-07,4.61440555178967e-08,4.04048849449151e-08,8.65489404628118e-08,4.66578385036759e-08,3.80852845752024e-08,8.47431230788783e-08
405.6,1.2591322431031e-07,3.17245799769261e-07,1.13876750795325e-07,4.94017073991906e-08,1.63278458194515e-07,1.15144691733281e-07,4.64194437910897e-08,1.6156413552437e-07
