wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
484.2,1.13547451067573e-07,4.37645093468333e-06,6.13426778090033e-06,1.06242661666512e-05,2.77734922787902e-05
484.4,8.17783714893697e-08,4.48727646665551e-06,6.00457443390059e-06,1.05736292720455e-05,2.77158410234113e-05
484.6,4.84959235937399e-08,4.58260051640815e-06,5.89217353316747e-06,1.05232699731694e-05,2.76452182355722e-05
484.8,2.20101849483531e-08,4.65316245819969e-06,5.80707649496062e-06,1.04822491381087e-05,2.75803605732709e-05
485,9.73199827349786e-09,4.71577234093057e-06,5.72015919925202e-06,1.04456635384561e-05,2.74852360018957e-05
485.2,1.31630767988481e-08,4.7882468032557e-06,5.62596087353641e-06,1.0427370753591e-05,2.73728160539068e-05
485.4,2.79112455320622e-08,4.92383444318896e-06,5.53085241906993e-06,1.0482598107791e-05,2.73151647985279e-05
485.6,4.45062974014722e-08,5.10119555793463e-06,5.43574396460345e-06,1.05814458199396e-05,2.72978694219142e-05
485.8,3.34761016613668e-08,5.19309720252191e-06,5.33790512388434e-06,1.05644784280676e-05,2.71811256297719e-05
486,6.44472560011166e-09,5.22822718495451e-06,5.24097641191611e-06,1.04756483224707e-05,2.70240259588644e-05
486.2,1.68729808850511e-08,5.36945172751306e-06,5.16771104747064e-06,1.05540357558687e-05,2.71119441233172e-05
486.4,5.06081841126124e-08,5.580533599035e-06,5.10855267866374e-06,1.07396944618113e-05,2.73454317076018e-05
486.6,5.57686983514197e-08,5.72528120573436e-06,5.03483224984283e-06,1.08158821539286e-05,2.74088480885186e-05
486.8,4.01114327734956e-08,5.81657889646893e-06,4.94609469663247e-06,1.08027850258749e-05,2.73252537682192e-05
487,2.78995904443095e-08,5.89287839986122e-06,4.84097482590636e-06,1.07617528162119e-05,2.71883320366943e-05
487.2,1.91762055340254e-08,5.98478004444851e-06,4.73448976205394e-06,1.07384460120365e-05,2.70312323657868e-05
487.4,1.20423952841661e-08,6.15267921550172e-06,4.66258959073478e-06,1.08273112015207e-05,2.68914280714929e-05
487.6,6.49403558675766e-09,6.35550705103663e-06,4.59751538504719e-06,1.09595164716706e-05,2.67948622187332e-05
487.8,2.52198168064021e-09,6.54353801718017e-06,4.4874353126288e-06,1.10334953114896e-05,2.67761255607351e-05
488,1.20961879968709e-10,6.69613702396475e-06,4.36793540763886e-06,1.10641933934836e-05,2.68020686256556e-05
488.2,0,6.74395003730424e-06,4.27919785442851e-06,1.10231478917327e-05,2.68409832230364e-05
488.4,0,6.80817046364234e-06,4.21102921098794e-06,1.10191996746303e-05,2.68784565390327e-05
488.6,5.27858924319423e-08,7.06193174075575e-06,4.17321336138907e-06,1.12879309945768e-05,2.68943106342619e-05
488.8,9.17255406136864e-08,7.32817473082515e-06,4.12561362771828e-06,1.15455138991571e-05,2.6888545508724e-05
489,4.83946139848126e-08,7.45057604497426e-06,4.01953812180375e-06,1.15185087807628e-05,2.68568373182656e-05
489.2,0,7.56723979752263e-06,3.91095976182431e-06,1.14781995593469e-05,2.67934209373488e-05
489.4,0,7.76171293809506e-06,3.83878655187989e-06,1.16004994899749e-05,2.66709120196686e-05
