wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
600,3.62541846933016e-06,5.61147041386723e-07,6.73192637174061e-08,4.25388477443428e-06,3.25010930180662e-05
605,8.3212181002424e-06,4.22596025943974e-07,5.6200666553434e-08,8.80001479273981e-06,3.14077840786205e-05
610,1.63359019892768e-05,3.40877155866856e-07,5.47997337654959e-08,1.67315788789092e-05,2.99169082521037e-05
615,3.01849829756876e-05,2.52620313318261e-07,4.53917905375416e-08,3.04829950795434e-05,2.83266407038191e-05
620,5.45203446142826e-05,2.01539269400992e-07,4.3952959381273e-08,5.47658368430649e-05,2.67363731555346e-05
625,9.42029109821264e-05,1.83321662331501e-07,4.45070596630695e-08,9.4430739704121e-05,2.48479304419466e-05
630,0.000147279880561781,1.51896965148537e-07,3.9533225529774e-08,0.000147471310752459,2.29594877283587e-05
635,0.000187448451505179,1.02995245388426e-07,2.79154153760703e-08,0.000187579362165944,2.10710450147707e-05
640,0.000117250067721662,9.88757441497611e-08,3.72201182213314e-08,0.000117386163584033,1.9083210579415e-05
645,4.6360737674104e-05,8.39830528740247e-08,2.77638219027487e-08,4.64724845488808e-05,1.70953761440593e-05
650,1.8847608768602e-05,6.81762026155507e-08,2.81049072177224e-08,1.89438898784352e-05,1.53063251522391e-05
655,8.03927689165281e-06,6.18658055870336e-08,2.9717548132196e-08,8.13086024537204e-06,1.36166658821867e-05
660,3.93224545437885e-06,5.43673876020474e-08,1.79324624217236e-08,4.00454530440262e-06,1.21257900556699e-05
665,2.17832520692539e-06,3.33706600808168e-08,1.73992715845232e-08,2.22909513859073e-06,1.06349142291532e-05
670,1.23934094504736e-06,4.68651124061636e-08,2.32330066268329e-08,1.30943906408036e-06,9.19373426352025e-06
675,7.0453097024922e-07,4.820356458764e-08,1.68530123444503e-08,7.6958754718131e-07,8.07060780754426e-06
680,4.23673024870199e-07,4.7852558395956e-08,2.1720992414478e-08,4.93246575680633e-07,7.0269947289825e-06
685,2.67141490942445e-07,4.18005944975798e-08,1.49554802473549e-08,3.2389756568738e-07,6.07283420001175e-06
690,1.88713234496983e-07,4.99547383351625e-08,1.79925770749373e-08,2.56660549907083e-07,5.27770042586946e-06
695,1.43667051367601e-07,2.06549786357009e-08,1.00113113885802e-08,1.74333341391882e-07,4.54220168478784e-06
700,1.16576687888063e-07,2.09542982013567e-08,1.48326372603529e-08,1.52363623349772e-07,3.79676377152944e-06
705,1.04845240091401e-07,4.09944374199758e-08,1.01090630420669e-08,1.55948740553444e-07,3.29980516269051e-06
710,7.50057302477342e-08,3.04630945061859e-08,3.14987714437256e-09,1.08618701898293e-07,2.87242075908903e-06
715,4.91684388063722e-08,1.35114240532963e-09,1.91412896874351e-09,5.24337101804453e-08,2.45497552766433e-06
720,5.36303121385688e-08,4.06472884391895e-09,4.95958957416434e-09,6.26546305566521e-08,2.13692201800741e-06
725,5.96614532568924e-08,5.71985804009053e-08,1.4403993646133e-08,1.31264027303931e-07,1.85862519705761e-06
730,5.88621806717942e-08,4.20744564713113e-08,9.18068370200045e-09,1.10117320845106e-07,1.48093665434002e-06
735,2.3885661019287e-08,7.82782379564349e-09,4.33452786476991e-09,3.60480126797004e-08,1.302031555158e-06
740,3.25828007309822e-08,5.27087869160679e-09,5.53237767206854e-09,4.33860570946576e-08,1.07343059509209e-06
745,1.63177500111537e-08,6.68184643795862e-11,0,1.63845684755333e-08,9.06452502522213e-07
750,4.09239274523919e-08,1.36915558022155e-08,7.19886040637709e-09,6.18143436609845e-08,8.47811386679219e-07
755,3.75745947148375e-08,3.0604268425039e-08,1.32539741933479e-08,8.14328373332244e-08,7.41462244387687e-07
760,4.20833118615454e-08,1.92332106988357e-08,7.14671747891559e-09,6.84632400392967e-08,6.82821128544693e-07
765,5.99747212664365e-09,2.01192120420205e-09,1.05999122539602e-09,9.06938455624172e-09,5.14849118757134e-07
770,3.1156992126796e-08,2.1529022625103e-08,6.74996076770473e-09,5.94359755196038e-08,5.09879532668745e-07
775,1.99112561318481e-08,1.7430350325285e-08,3.84772985776714e-09,4.11893363149002e-08,3.62779784452421e-07
780,2.3238045283669e-07,2.7893420606187e-07,5.00219256752888e-08,5.61336584573849e-07,0
