SingleWhiteRatio,RGBWhiteRatio,x,y,Y_lm,CCT_K,Ra,Rmin_8,R1,R2,R3,R4,R5,R6,R7,R8,Worst_R
0.514,0.486,0.308553114411792,0.316698331588863,2.39,6862.90450973557,68.1329042369535,34.2031764788213,60.9908033887908,89.6068017583182,78.634529638256,53.8543125670499,68.0347427675025,85.3544940038731,74.3843732930164,34.2031764788213,R8
0.515,0.485,0.308552528864776,0.316697473800039,2.39,6862.95087739786,68.221418993674,34.3817229103158,61.1005001640463,89.6487872853626,78.6694156679951,53.9728154875452,68.1302182986235,85.4138914649988,74.454000670505,34.3817229103158,R8
0.516,0.484,0.308551943320932,0.316696616015863,2.39,6862.99724560625,68.309930119319,34.5602912024766,61.2101954193686,89.6907663232329,78.7042805680197,54.0913190563802,68.2256955802643,85.4732661161369,74.5236266886728,34.5602912024766,R8
0.517,0.483,0.308551357780259,0.316695758236333,2.39,6863.04361452233,68.3984375432702,34.7388813561071,61.3198891449492,89.7327388111513,78.7391242555853,54.2098232399414,68.3211746067327,85.5326176292842,74.5932513024104,34.7388813561071,R8
0.518,0.482,0.308550772242759,0.316694900461449,2.39,6863.08998400283,68.4869411951044,34.9174933745439,61.4295813320183,89.7747046869459,78.7739466500051,54.3283280063287,68.4166553730096,85.5919456702539,74.6628744677298,34.9174933745439,R8
0.519,0.481,0.30855018670843,0.316694042691213,2.39,6863.1363541632,68.5754410024106,35.0961272589192,61.5392719707315,89.8166638877778,78.8087476679548,54.4468333215484,68.5121378733842,85.6512499001906,74.7324961387783,35.0961272589192,R8
0.52,0.48,0.308549601177273,0.316693184925622,2.39,6863.18272494967,68.6639368924154,35.2747830117524,61.648961051768,89.8586163495481,78.8435272270386,54.5653391523995,68.6076221024897,85.7105299742368,74.8021162700897,35.2747830117524,R8
0.521,0.479,0.308549015649288,0.316692327164679,2.39,6863.22909631984,68.7524287912719,35.4534606354398,61.7586485656616,89.9005620071248,78.8782852442722,54.6838454652452,68.7031080548634,85.7697855419388,74.8717348156298,35.4534606354398,R8
0.522,0.478,0.308548430124475,0.316691469408381,2.39,6863.27546838341,68.8409166234993,35.6321601310688,61.8683345022616,89.9425007945042,78.913021634913,54.8023522250638,68.7985957246037,85.8290162475417,74.9413517280373,35.6321601310688,R8
0.523,0.477,0.308547844602833,0.316690611656731,2.39,6863.3218410102,68.9294003134696,35.8108815017044,61.9780188522047,89.9844326442615,78.947736315727,54.9208593980872,68.8940851063246,85.8882217287523,75.0109669606949,35.8108815017044,R8
0.524,0.476,0.308547259084364,0.316689753909726,2.39,6863.36821429988,69.0178797835834,35.9896247484532,62.0877016051535,90.0263574881667,78.9824292010595,55.0393669486256,68.9895761940101,85.9474016179624,75.0805804652362,35.9896247484532,R8
0.525,0.475,0.308546673569066,0.316688896167368,2.39,6863.41458822914,69.1063549556054,36.1683898734191,62.1973827511183,90.0682752566795,79.0171002057832,55.1578748414448,69.0850689818712,86.0065555411245,75.1501921934027,36.1683898734191,R8
0.526,0.474,0.308546088056939,0.316688038429656,2.39,6863.46096275409,69.1948257502495,36.3471768788456,62.3070622800668,90.110185879068,79.0517492444371,55.2763830410648,69.1805634640929,86.0656831179197,75.2198020965009,36.3471768788456,R8
0.527,0.473,0.308545502547985,0.316687180696591,2.39,6863.50733789079,69.2832920868499,36.5259857664381,62.4167401816249,90.1520892834907,79.0863762305527,55.3948915112225,69.2760596346477,86.1247839618649,75.2894101249575,36.5259857664381,R8
0.528,0.472,0.308544917042201,0.316686322968172,2.39,6863.55371369767,69.3717538834048,36.7048165375129,62.5264164451397,90.1939853969477,79.1209810767947,55.5134002149762,69.3715574873213,86.1838576801312,75.3590162284149,36.7048165375129,R8
0.529,0.471,0.30854433153959,0.316685465244399,2.39,6863.60009016081,69.4602110569974,36.8836691939539,62.636091060107,90.2358741451012,79.1555636959196,55.6319091154767,69.4670570160069,86.2429038730889,75.428620356325,36.8836691939539,R8
0.53,0.47,0.30854374604015,0.316684607525272,2.39,6863.64646718227,69.5486635238169,37.062543738322,62.745764016215,90.2777554522374,79.1901240008646,55.7504181760367,69.5625582147183,86.3019221341359,75.4982224580051,37.062543738322,R8
0.531,0.469,0.308543160543882,0.316683749810791,2.39,6863.69284489867,69.6371111979107,37.2414401711661,62.8554353021459,90.3196292416587,79.2246619020879,55.8689273579892,69.6580610768231,86.3609120504727,75.5678224809416,37.2414401711661,R8
0.532,0.468,0.308542575050785,0.316682892100956,2.39,6863.73922320603,69.7255539929886,37.4203584950211,62.9651049073562,90.3614954350303,79.259177311533,55.9874366238714,69.7535655961945,86.4198732016036,75.6374203732985,37.4203584950211,R8
0.533,0.467,0.30854198956086,0.316682034395768,2.39,6863.78560212423,69.8139918209963,37.5992987113434,63.0747728207109,90.4033539528288,79.2936701395813,56.1059459349688,69.849071766321,86.4788051602357,75.7070160819803,37.5992987113434,R8
0.534,0.466,0.308541404074106,0.316681176695225,2.39,6863.83198171035,69.9024245924238,37.7782608212388,63.1844390308028,90.4452047142063,79.3281402957681,56.2244552518982,69.9445795805199,86.5377074918806,75.776609553076,37.7782608212388,R8
0.535,0.465,0.308540818590524,0.316680318999328,2.39,6863.87836189639,69.9908522169055,37.9572448268276,63.2941035265608,90.4870476367404,79.3625876901425,56.3429645356834,70.0400890323274,86.5965797542408,75.8462007327207,37.9572448268276,R8
0.536,0.464,0.308540233110113,0.316679461308078,2.39,6863.92474276875,70.079274602117,38.1362507288867,63.4037662961979,90.5288826367737,79.3970122309249,56.4614737458821,70.1356001148206,86.6554214978573,75.915789565593,38.1362507288867,R8
0.537,0.463,0.308539647632873,0.316678603621473,2.39,6863.97112421273,70.1676916551194,38.3152785298539,63.5134273285477,90.570709628915,79.4314138274701,56.5799828429568,70.2311128214764,86.7142322649299,75.9853759968051,38.3152785298539,R8
0.538,0.462,0.308539062158805,0.316677745939514,2.39,6864.01750627851,70.2561032809213,38.4943282307318,63.6230866116844,90.6125285264887,79.4657923872137,56.6984917858217,70.3266271452856,86.7730115902075,76.0549599699367,38.4943282307318,R8
0.539,0.461,0.308538476687908,0.316676888262201,2.39,6864.06388897773,70.3445093832341,38.6733998328087,63.7327441336841,90.6543392412375,79.5001478173623,56.817000533191,70.4221430792412,86.8317590002298,76.1245414281183,38.6733998328087,R8
0.54,0.46,0.308537891220183,0.316676030589533,2.39,6864.11027236338,70.4329098641382,38.8524933369812,63.842399882326,90.6961416833872,79.5344800242257,56.9355090430506,70.5176606161468,86.8904740134011,76.1941203135866,38.8524933369812,R8
0.541,0.459,0.308537305755628,0.316675172921512,2.39,6864.15665626455,70.5213046250734,39.0316087459956,63.9520538460844,90.7379357612661,79.5687889154276,57.0540172744152,70.6131797492553,86.9491561390469,76.2636965690961,39.0316087459956,R8
0.542,0.458,0.308536720294246,0.316674315258136,2.39,6864.20304092009,70.6096935643688,39.2107460590936,64.0617060117444,90.7797213821108,79.6030743946057,57.1725251830884,70.7087004707328,87.0078048790472,76.3332701345273,39.2107460590936,R8
