Index,IntSig_u,IntSig_v,Target_u1976,Target_v1976,Target_x,Target_y,Target_Y_lm,ExactValid,S14Valid,ExactRa,S14Ra,RaDiff_ExactMinusS14,ExactWhiteRatio,S14UsedWhiteRatio,S14DistanceWeightedAverageWhiteRatio,S14LocalFitPredictedWhiteRatio,WhiteRatioDiff_ExactMinusS14,ExactRGBRatio,S14RGBRatio,S14OutputDeltaUv,S14LocalFitFallbackUsed,S14LocalFitConditionValue,ExactRGBPoint_x,ExactRGBPoint_y,ExactRGBPoint_Y_lm,S14RGBPoint_x,S14RGBPoint_y,S14RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S14_R_weight,S14_G_weight,S14_B_weight,S14NearestLutIndex0,S14CandidateCount,ErrorMessage
11,103,104,0.515,0.52,0.684638109305761,0.307237813884786,4,1,1,59.1752713822008,57.8819841395804,1.29328724262039,0.0122835440710861,0.00220610805240588,0.000821112435166861,0.00220610805240595,0.0100774360186803,0.987716455928914,0.997793891947594,0,0,6.62093593087145e-06,0.688478053761758,0.306782092826428,3.95086582371566,0.685321626528375,0.307156694692656,3.99117556779038,1.28927782062469,0.04735858132953,0,1.29329810796675,0.0530207335191764,0.00120650895655996,662,9,
12,101,101,0.505,0.505,0.653956834532374,0.290647482014389,4,1,1,59.9709273053158,59.5695801114567,0.401347193859102,0.0935251154962821,0.0840783262609361,0.0890558477109026,0.0840783262609361,0.00944678923534595,0.906474884503718,0.915921673739064,0,0,3.00031897905527e-05,0.681035011323103,0.285724523697151,3.62589953801487,0.678093909957491,0.286259231758982,3.66368669495626,1.25187310097112,0,0.0162565807522369,1.25564179839729,0.00530781423517753,0.0173875862780524,658,9,
13,98,99,0.49,0.495,0.628205128205128,0.282051282051282,4,1,1,58.8203280473286,58.4972861326329,0.323041914695672,0.117340761293518,0.114207075585666,0.120047921939232,0.114207075585666,0.0031336857078514,0.882659238706482,0.885792924414334,0,0,1.36859854380684e-05,0.65909246255538,0.275044335380046,3.53063695482593,0.658183690868578,0.275250494793919,3.54317169765734,1.21377215937123,0,0.0329844517173772,1.21502231039793,0.00176070633040821,0.0333596284852136,648,9,
14,88,88,0.44,0.44,0.521052631578947,0.231578947368421,4,1,1,31.3473918798001,31.1175080511539,0.229883828646265,0.153824172687363,0.151824745222153,0.142806330073187,0.151824745222153,0.00199942746520962,0.846175827312637,0.848175254777847,0,0,3.13148910288007e-05,0.542382161172895,0.218237443413847,3.38470330925055,0.542073849098134,0.218430290928208,3.39270101911139,1.12881664150425,0,0.146145496417642,1.12961429210852,0.00112340704313985,0.146384875475995,613,9,
15,49,36,0.245,0.18,0.208215297450425,0.0679886685552408,4,1,1,-99.1148558193073,-99.4628939092173,0.348038089909991,0.273899645736925,0.26571419991914,0.26949188042613,0.265714199919141,0.00818544581778502,0.726100354263075,0.734285800080859,0,0,1.85356979155155e-05,0.201153738471395,0.052149909455088,2.9044014170523,0.201376295182921,0.0526490941465201,2.93714320032344,0.508349012289818,0,1.64077886180095,0.511614509996714,0.00459911031679997,1.64175885449694,173,9,
16,39,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,The fixed-white to target ray does not hit the RGB gamut boundary after the target.
17,32,48,0.16,0.24,0.157894736842105,0.105263157894737,4,1,1,23.7500002948869,23.7500002948869,0,0,0,5.14364297286873e-17,5.81862643906465e-17,0,1,1,0,0,2.89988017753901e-05,0.157894736842105,0.105263157894737,4,0.157894736842105,0.105263157894737,4,0.0521913283190761,0.594463400532806,1.07961744790282,0.0521913283190761,0.594463400532806,1.07961744790282,46,9,
18,29,58,0.145,0.29,0.158566221142163,0.140947752126367,4,1,1,33.6959985977162,33.6959985977162,0,0,0,0,0,0,1,1,0,0,2.70758336766551e-05,0.158566221142163,0.140947752126367,4,0.158566221142163,0.140947752126367,4,0.0468039733610061,0.655603706586615,0.756592529823656,0.0468039733610061,0.655603706586615,0.756592529823656,50,9,
19,27,64,0.135,0.32,0.157997399219766,0.166449934980494,4,1,1,35.6818506146022,35.6818506146022,0,0,0,-2.54049355294708e-17,-3.48965955925899e-17,0,1,1,0,0,4.23498718034668e-05,0.157997399219766,0.166449934980494,4,0.157997399219766,0.166449934980494,4,0.0397200519857289,0.685823261498033,0.611487893261187,0.0397200519857289,0.685823261498033,0.611487893261187,52,9,
20,25,72,0.125,0.36,0.160944206008584,0.206008583690987,4,1,1,42.7798776700159,42.7798776700159,0,0,0,-1.7637179430771e-17,-3.28456217337046e-17,0,1,1,0,0,1.90522456025213e-05,0.160944206008584,0.206008583690987,4,0.160944206008584,0.206008583690987,4,0.0459176524171588,0.710262288070432,0.454874538218081,0.0459176524171588,0.710262288070432,0.454874538218081,55,9,
