Index,Target_x,Target_y,Target_Y,Exact_Ra,Grid_Ra,Ra_Diff,Abs_Ra_Diff,Exact_Rmin8,Grid_Rmin8,TargetToSelectedGrid_DeltaUV,SelectedGridRank,SkippedCandidateCount,SelectedGridTarget_x,SelectedGridTarget_y,Exact_RGBPoint_x,Exact_RGBPoint_y,Exact_RGBPoint_u,Exact_RGBPoint_v,Exact_RayT,Exact_R_weight,Exact_G_weight,Exact_B_weight,Exact_SingleWhiteRatio,Exact_RGBWhiteRatio,Grid_StoredBestRgb_x,Grid_StoredBestRgb_y,Grid_StoredBestRgb_u,Grid_StoredBestRgb_v,Grid_ProjectedRgb_x,Grid_ProjectedRgb_y,Grid_ProjectedRgb_u,Grid_ProjectedRgb_v,Grid_RawRayT,Grid_RayT,Grid_R_weight,Grid_G_weight,Grid_B_weight,Grid_SingleWhiteRatio,Grid_RGBWhiteRatio,Grid_KUsed,Grid_WeightPower,Grid_NearestMode,Grid1_Ra,Grid1_Rmin8,Grid1_TargetToSelectedGrid_DeltaUV,Grid1_SelectedGridRank,Grid1_SelectedGridTarget_x,Grid1_SelectedGridTarget_y,Grid1_StoredBestRgb_x,Grid1_StoredBestRgb_y,Grid1_StoredBestRgb_u,Grid1_StoredBestRgb_v,Grid1_ProjectedRgb_x,Grid1_ProjectedRgb_y,Grid1_ProjectedRgb_u,Grid1_ProjectedRgb_v,Grid1_RawRayT,Grid1_RayT,Grid1_R_weight,Grid1_G_weight,Grid1_B_weight,Grid1_SingleWhiteRatio,Grid1_RGBWhiteRatio,Grid1_KUsed,Grid1_WeightPower,Grid1_NearestMode,ExactVsGrid1Rgb_DeltaUV,PureRGB_Valid,PureRGB_Ra,PureRGB_Rmin8,PureRGB_R_weight,PureRGB_G_weight,PureRGB_B_weight,PureRGB_Is_ExactMax,Final_Max_Ra,Final_Max_Source,ExactVsProjectedRgb_DeltaUV,StoredVsProjectedRgb_Distance_xy
11,0.6846,0.3072,1.942,57.1328571867902,NaN,NaN,NaN,24.8787538753203,NaN,NaN,NaN,NaN,NaN,NaN,0.688175281110919,0.306875214714417,0.518775398254449,0.520504675508712,1.01005549509995,1.58822873360772,0.0531840061190857,0,0.0110021072327567,0.988997892767243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,1,55.6185382931569,22.0169399352558,1.59343639896545,0.0585116274262621,0.00146326289326701,0,57.1328571867902,ExactRayScan,NaN,NaN
12,0.654,0.2906,1.907,63.2670500639526,59.654534044481,3.61251601947158,3.61251601947158,32.5744584563778,24.7181532901781,0.0079915658660452,1,2,0.64611119747156,0.290825338577756,0.689859872730693,0.285203799544134,0.547211879748064,0.509017200760873,1.11035336481049,1.50552337381487,0,0.0111354466272583,0.116109463622322,0.883890536377678,0.679265457219427,0.28472718083223,0.537160329249369,0.506612437445833,0.679570181617845,0.286752194216108,0.534896049209225,0.507837004710847,1.07868838803573,1.07868838803573,1.51987938777475,0.0146866975131701,0.01516923549035,0.0852232117214123,0.914776788278588,6,2,uv1976,62.7602580247063,31.384028049449,0.0079915658660452,1,0.64611119747156,0.290825338577756,0.688103726981593,0.284378917082474,0.54651098879252,0.508188581768799,0.688263993010268,0.285443947827412,0.545289238196805,0.508832958702877,1.10544228499979,1.10544228499979,1.50769603307393,0.00222270537115693,0.011745925883338,0.111435095001773,0.888564904998227,1,2,uv1976,0.00193144911156404,1,48.3415529568454,3.1614674208497,1.55949136857136,0.0552111203427443,0.0262995093552929,0,63.2670500639526,ExactRayScan,0.0123722489700898,0.00204781253142804
13,0.6282,0.2821,1.915,56.2795511556281,50.6197198936334,5.65983126199468,5.65983126199468,12.9322588074789,2.38191266514438,0.00583123974871225,1,7,0.62561536251138,0.276275815830188,0.667285894072386,0.274600534356907,0.538064940985912,0.498203354301983,1.13065434276834,1.46549528526226,0,0.0271241435865614,0.139068820167715,0.860931179832286,0.6515607168126,0.268427624534939,0.529938498505143,0.491224822835028,0.653261427398091,0.277291428565232,0.52042602883756,0.49703956123779,1.08377406742878,1.08377406742878,1.48698566390173,0.0219853986909974,0.0331625641580241,0.093026487406006,0.906973512593994,6,2,uv1976,52.609606186596,6.05910174486732,0.00583123974871225,1,0.62561536251138,0.276275815830188,0.656730626513689,0.269642600146855,0.533683281713463,0.493023196017388,0.658022925194967,0.276377833264809,0.526366951078155,0.49743153575642,1.09969056057824,1.09969056057824,1.4794839472162,0.0143108837387377,0.031054712960279,0.10909863493369,0.89090136506631,1,2,uv1976,0.0117234240625025,1,38.9758759889477,-18.7817302199888,1.53040601899542,0.0664059198020611,0.0453629245991554,0,56.2795511556281,ExactRayScan,0.0176772632518023,0.00902548826286015
14,0.5211,0.2316,1.835,26.5455525587962,21.2768012604381,5.26875129835814,5.26875129835814,-58.6245349873839,-67.963202388697,0.00762828561722115,1,9,0.511345377160923,0.22489794667846,0.545980322941708,0.217621870610663,0.483221688520801,0.433365649919633,1.12954793538697,1.31076167344766,0,0.130958202165264,0.168122615105962,0.831877384894038,0.530609861058772,0.210402182585709,0.475498783106863,0.424235347909913,0.537380422727981,0.222453420353988,0.46782835755949,0.43573887551789,1.08476960514453,1.08476960514453,1.33472130118817,0.0245115257018056,0.137690438551604,0.114552074660014,0.885447925339986,6,2,uv1976,22.0506605644601,-66.6006758329347,0.00762828561722115,1,0.511345377160923,0.22489794667846,0.532781599010457,0.21142227362803,0.476601688220568,0.425539242783209,0.538595528026514,0.221770756422159,0.469972697167133,0.435408277698548,1.09109646766442,1.09109646766442,1.33121667190809,0.0209261690508453,0.136705699013264,0.122387959533931,0.877612040466069,1,2,uv1976,0.0134055249853471,1,9.8885671071531,-87.7475916687955,1.38595515178794,0.0769255222538317,0.152086254586631,0,26.5455525587962,ExactRayScan,0.0155751994473488,0.0138229098624046
15,0.2082,0.068,1.265,-123.451604357103,-125.370897826894,1.91929346979114,1.91929346979114,-220.525702020925,-219.184077975187,0.00480450219075076,1,33,0.211907994239319,0.0692828776580867,0.203114042401548,0.0565735170459461,0.248256045361949,0.155580649461569,1.04208660447475,0.448565273515217,0,1.04735856244361,0.201636905802917,0.798363094197083,0.206632155129183,0.0588423867927171,0.251007499100909,0.160827973587423,0.20453867494302,0.0597742003264907,0.247310160019762,0.162615827382331,1.03029768466287,1.03029768466287,0.465467577999706,0.0172916405579566,1.0521078144143,0.146817108464971,0.85318289153503,6,2,uv1976,-125.338922950338,-219.205912008679,0.00480450219075076,1,0.211907994239319,0.0692828776580867,0.207238348113486,0.0585107522953815,0.252141439822416,0.160174105285454,0.20451571002391,0.0597226056657661,0.247325246309628,0.162503620618318,1.03048772074726,1.03048772074726,0.465192047948508,0.0170097638107588,1.05203039528841,0.147710744097973,0.852289255902027,1,2,uv1976,0.00698526424074053,1,-130.938885757346,-216.188851240789,0.51073493744486,0.0636017108357525,1.06482715077757,0,-123.451604357103,ExactRayScan,0.00709848064428807,0.00229149203611481
16,0.1486,0.0288,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN
17,0.1579,0.1053,1.729,21.0431109884352,17.3042166626658,3.73889432576949,3.73889432576949,-31.0722463979235,-35.4267245654517,0.00935419865487765,1,11,0.151011857250569,0.101006761809397,0.1579,0.1053,0.159987841329348,0.240057753685597,1,0.0532144311469309,0.434588408120575,0.943552107374262,0,1,0.156622045158701,0.0971469314691284,0.16261780057056,0.226948228784029,0.153571213780917,0.099376377541658,0.158101855535392,0.23019338014288,1.02529308533013,1.02529308533013,0.019696497684971,0.400298405937643,0.934134154236951,0.079536096261347,0.920463903738653,6,2,uv1976,17.2067664566226,-35.5394590515675,0.00935419865487765,1,0.151011857250569,0.101006761809397,0.151011857250568,0.101006761809397,0.154485564533776,0.232492967995319,0.15345692776797,0.0992199856205277,0.158051241388161,0.229928650230051,1.0259608581725,1.0259608581725,0.0188339693204045,0.399416009666483,0.933891798850504,0.0815828256371351,0.918417174362865,1,2,uv1976,0.0103125727219429,1,21.0431109884352,-31.0722463979235,0.0532144311469309,0.434588408120575,0.943552107374262,1,21.0431109884352,ExactRayScan,0.0100430477348893,0.00377862433777025
18,0.1586,0.1409,1.957,30.1965536923023,28.8094609988113,1.38709269349108,1.38709269349108,-17.4309051709146,-18.9046054784693,0.00823150840606831,1,88,0.151728755377873,0.143752328343304,0.1586,0.1409,0.145052130967624,0.289944210718859,1,0.0456933104719527,0.552939534215026,0.751628055089942,0,1,0.156274351159233,0.138874791384361,0.143570224219486,0.287066564516627,0.156612686127838,0.13858442015106,0.144018695187286,0.286740382775178,1.01165955792859,1.01165955792859,0.0324473223972783,0.539388431474424,0.747906164088331,0.0277699798266409,0.972230020173359,6,2,uv1976,29.1443668167606,-18.5490258394344,0.00823150840606831,1,0.151728755377873,0.143752328343304,0.151728755377873,0.143752328343304,0.137262321432434,0.292604398314619,0.157095208214523,0.139146645593275,0.144270653305961,0.287521496102787,1.00882860389544,1.00882860389544,0.035635317938937,0.542649860888225,0.748801935083502,0.0210864035331862,0.978913596466814,1,2,uv1976,0.00254563419339972,1,30.1965536923024,-17.4309051709142,0.0456933104719526,0.552939534215026,0.751628055089942,1,30.1965536923024,PureRGB,0.00336637832169659,0.000445854240878939
19,0.158,0.1664,2.094,31.2780645922979,27.7815284940221,3.49653609827581,3.49653609827581,-13.4681703415898,-16.9287229328634,0.00809838944688827,1,97,0.152011303896514,0.160599487015677,0.158,0.1664,0.13501965475987,0.319945308494274,1,0.0352506577234565,0.623717356610741,0.651827494269171,0,1,0.154726228256972,0.158077714203811,0.134911737524121,0.310126560225009,0.152221808585152,0.160552412922136,0.131731462464,0.312616567849955,1.03378169432175,1.03378169432175,0.0012229434629839,0.588905831085279,0.642266301642583,0.0666711782248973,0.933328821775103,6,2,uv1976,27.7340359490381,-16.9757552602111,0.00809838944688827,1,0.152011303896514,0.160599487015677,0.152011303896514,0.160599487015677,0.131521240398653,0.312641541754386,0.152141348093303,0.16047098610557,0.131685086025762,0.312513203795401,1.03425209960006,1.03425209960006,0.000764804609723988,0.588437139234207,0.642137572636802,0.0675688188040923,0.932431181195908,1,2,uv1976,0.00814589030723567,1,31.2780645922979,-13.4681703415898,0.0352506577234565,0.623717356610741,0.651827494269171,1,31.2780645922979,ExactRayScan,0.00803259908163693,0.00352083110061747
20,0.1609,0.206,2.293,37.4971530879328,34.4558666174473,3.04128647048545,3.04128647048545,-1.26758434262156,-4.10090120277376,0.0366424661809698,1,116,0.173601343924037,0.173997011721401,0.1609,0.206,0.124966020737059,0.35998601996039,1,0.0430136112210566,0.712713000823783,0.533371148637144,0,1,0.179028577799247,0.171018687209759,0.152554073454776,0.32788951800747,0.154984168219263,0.201303106881955,0.121421243605138,0.354846344533472,1.03518290884973,1.03518290884973,0.0117089998852614,0.680687303527782,0.524575100310452,0.0560126721407224,0.943987327859278,4,2,uv1976,33.5238896871268,-4.97285891539477,0.0366424661809698,1,0.173601343924037,0.173997011721401,0.173601343924037,0.173997011721401,0.146475493991527,0.330321008783267,0.153105699111812,0.199811690467449,0.120282691111607,0.353195524170025,1.04635462735594,1.04635462735594,0.0022091299793706,0.670968608901805,0.521905803001721,0.0730105863684501,0.92698941363155,1,2,uv1976,0.00824890353074823,1,37.4971530879328,-1.26758434262156,0.0430136112210566,0.712713000823783,0.533371148637144,1,37.4971530879328,ExactRayScan,0.00624353332729591,0.0386688467235801
21,0.1667,0.2407,2.449,45.4163194716924,42.3988661659862,3.01745330570619,3.01745330570619,12.0460410393304,9.29750570225184,0.0118197123956849,1,115,0.153456625909636,0.246777851725783,0.1667,0.2407,0.12003600360036,0.38997299729973,1,0.064560309431086,0.774538916108966,0.450514650206311,0,1,0.162057050053399,0.233589311460535,0.118312321998329,0.383705066231342,0.160154046138774,0.236716290169732,0.116047614793301,0.385930380269659,1.04032124216584,1.04032124216584,0.0319288901908026,0.741155848556447,0.441345792061827,0.0546674993014038,0.945332500698596,5,2,uv1976,42.2120188343115,9.10268479141345,0.0118197123956849,1,0.153456625909636,0.246777851725783,0.153456625909636,0.246777851725783,0.108556916263528,0.392790115513454,0.159735036315169,0.236461290884882,0.115790607189579,0.385669878255958,1.04290222530835,1.04290222530835,0.0299260622844222,0.73910688651767,0.440783032445821,0.0580228419656822,0.941977158034318,1,2,uv1976,0.00604485104775546,1,45.4163194716924,12.0460410393304,0.064560309431086,0.774538916108966,0.450514650206311,1,45.4163194716924,ExactRayScan,0.0056789081457701,0.00366052178614567
22,0.1667,0.2828,2.586,44.1596231094779,42.5033031310948,1.65631997838311,1.65631997838311,6.83934023300941,5.1127828042239,0.0182666851891556,1,21,0.154451436236939,0.306094133097911,0.1667,0.2828,0.110029371967922,0.419986139071318,1,0.0549533628232284,0.841748541602287,0.369238351193312,0,1,0.165686134554801,0.272559999363158,0.111585407876531,0.413015049559488,0.16260882511655,0.281371150203875,0.107488004782012,0.418483147597637,1.02520049128295,1.02520049128295,0.0363536538516421,0.822720397699518,0.364012158246159,0.0295093510269154,0.970490648973084,6,2,uv1976,42.6723031530813,5.28910723444075,0.0182666851891556,1,0.154451436236939,0.306094133097911,0.154451436236939,0.306094133097911,0.0970747541959665,0.432864402392987,0.163034105768157,0.281519680195786,0.107752532377263,0.418639592019529,1.0225808815965,1.0225808815965,0.0382444123466032,0.824654708864411,0.36454342831744,0.0265095698894706,0.973490430110529,1,2,uv1976,0.00264521974215186,1,44.1596231094779,6.83934023300941,0.0549533628232284,0.841748541602287,0.369238351193312,1,44.1596231094779,ExactRayScan,0.00295254645070606,0.00933307090493927
