颜色序号,层级,方法,目标xyY,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确,RGB点_x,RGB点_y,白色比例,RGB比例,R权重,G权重,B权重
9,3,纯RGB,"(0.5532, 0.3927, 2.5130)","(0.55320, 0.39270)","W=0.0000, RGB=1.0000","R=1.2088, G=0.4156, B=0.0123",-4.21472168962119,0.0207898794874584,-0.071558184520179,0.071558184520179,-6.12511140241551,0.5532,0.3927,0,1,1.20884378622718,0.415628624585801,0.0123154153288587
10,1,精确法,"(0.5897, 0.3655, 2.3750)","(0.61123, 0.36765)","W=0.0709, RGB=0.9291","R=1.3006, G=0.2711, B=0.0000",8.97697380375128,0,0,0,0,0.611227491757042,0.367647399087115,0.0708622465815375,0.929137753418462,1.30064042330311,0.271065129921958,0
10,2,网格法,"(0.5897, 0.3655, 2.3750)","(0.60701, 0.36723)","W=0.0578, RGB=0.9422","R=1.3082, G=0.2788, B=0.0021",7.84406145047892,0.00423942345832214,-0.0130213426350559,0.0130213426350569,-1.13291235327236,0.607009004077336,0.367226598712661,0.0578409039464816,0.942159096053519,1.30817809730339,0.2787764304476,0.00211795457436188
10,3,纯RGB,"(0.5897, 0.3655, 2.3750)","(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",2.81964373336255,0.0216343297605647,-0.0708622465815375,0.0708622465815379,-6.15733007038873,0.5897,0.3655,0,1,1.34166050307743,0.313030086580212,0.0115259250526807
11,1,精确法,"(0.6846, 0.3072, 1.9420)","(0.68818, 0.30688)","W=0.0110, RGB=0.9890","R=1.5882, G=0.0532, B=0.0000",57.1328571867902,0,0,0,0,0.688175281110919,0.306875214714417,0.0110021072327567,0.988997892767243,1.58822873360772,0.0531840061190857,0
11,2,网格法,"(0.6846, 0.3072, 1.9420)","(0.68638, 0.30704)","W=0.0055, RGB=0.9945","R=1.5908, G=0.0558, B=0.0007",56.3769272598231,0.00180444381747082,-0.00550247173866791,0.00550247173866791,-0.755929926967099,0.686378236886817,0.30703846160422,0.00549963549408879,0.994500364505911,1.5908332375313,0.0558485034791716,0.000731820054659254
11,3,纯RGB,"(0.6846, 0.3072, 1.9420)","(0.68460, 0.30720)","W=0.0000, RGB=1.0000","R=1.5934, G=0.0585, B=0.0015",55.6185382931569,0.00359000285568484,-0.0110021072327567,0.011002107232757,-1.51431889363329,0.6846,0.3072,0,1,1.59343639896545,0.0585116274262621,0.00146326289326701
12,1,精确法,"(0.6540, 0.2906, 1.9070)","(0.68986, 0.28520)","W=0.1161, RGB=0.8839","R=1.5055, G=0.0000, B=0.0111",63.2670500639526,0,0,0,0,0.689859872730693,0.285203799544134,0.116109463622322,0.883890536377678,1.50552337381487,0,0.0111354466272583
12,2,网格法,"(0.6540, 0.2906, 1.9070)","(0.66801, 0.28849)","W=0.0483, RGB=0.9517","R=1.5370, G=0.0323, B=0.0200",54.8666247768462,0.0220968316403738,-0.0678259927288106,0.067825992728811,-8.4004252871064,0.668009054295747,0.288491914850209,0.0482834708935114,0.951716529106489,1.53704907986626,0.0322518848170491,0.0199936187025031
12,3,纯RGB,"(0.6540, 0.2906, 1.9070)","(0.65400, 0.29060)","W=0.0000, RGB=1.0000","R=1.5595, G=0.0552, B=0.0263",48.3415529568454,0.0362636105706725,-0.116109463622322,0.116109463622322,-14.9254971071072,0.654,0.2906,0,1,1.55949136857136,0.0552111203427443,0.0262995093552929
13,1,精确法,"(0.6282, 0.2821, 1.9150)","(0.66729, 0.27460)","W=0.1391, RGB=0.8609","R=1.4655, G=0.0000, B=0.0271",56.2795511556281,0,0,0,0,0.667285894072386,0.274600534356907,0.139068820167715,0.860931179832286,1.46549528526226,0,0.0271241435865614
13,2,网格法,"(0.6282, 0.2821, 1.9150)","(0.64732, 0.27843)","W=0.0723, RGB=0.9277","R=1.4967, G=0.0319, B=0.0359",48.03892695718,0.0203317313912805,-0.0667773924197295,0.066777392419728,-8.2406241984481,0.647318389002279,0.278431727727442,0.0722914277479855,0.927708572252014,1.4966638069591,0.031886472900737,0.0358819531046595
13,3,纯RGB,"(0.6282, 0.2821, 1.9150)","(0.62820, 0.28210)","W=0.0000, RGB=1.0000","R=1.5304, G=0.0664, B=0.0454",38.9758759889477,0.0397988580284625,-0.139068820167715,0.139068820167714,-17.3036751666804,0.6282,0.2821,0,1,1.53040601899542,0.0664059198020611,0.0453629245991554
14,1,精确法,"(0.5211, 0.2316, 1.8350)","(0.54598, 0.21762)","W=0.1681, RGB=0.8319","R=1.3108, G=0.0000, B=0.1310",26.5455525587962,0,0,0,0,0.545980322941708,0.217621870610663,0.168122615105962,0.831877384894038,1.31076167344766,0,0.130958202165264
14,2,网格法,"(0.5211, 0.2316, 1.8350)","(0.53727, 0.22251)","W=0.1139, RGB=0.8861","R=1.3350, G=0.0248, B=0.1378",21.2076785278756,0.00998781793111041,-0.054270042393482,0.0542700423934821,-5.3378740309206,0.537272636219286,0.222513976391323,0.11385257271248,0.88614742728752,1.33503415609176,0.0248315870605805,0.137778345308271
14,3,纯RGB,"(0.5211, 0.2316, 1.8350)","(0.52110, 0.23160)","W=0.0000, RGB=1.0000","R=1.3860, G=0.0769, B=0.1521",9.8885671071531,0.0285380197439964,-0.168122615105962,0.168122615105962,-16.6569854516431,0.5211,0.2316,0,1,1.38595515178794,0.0769255222538317,0.152086254586631
15,1,精确法,"(0.2082, 0.0680, 1.2650)","(0.20311, 0.05657)","W=0.2016, RGB=0.7984","R=0.4486, G=0.0000, B=1.0474",-123.451604357103,0,0,0,0,0.203114042401548,0.0565735170459461,0.201636905802917,0.798363094197083,0.448565273515217,0,1.04735856244361
