Index,IntSig_u,IntSig_v,Target_u1976,Target_v1976,Target_x,Target_y,Target_Y_lm,ExactValid,S10Valid,ExactRa,S10Ra,RaDiff_ExactMinusS10,ExactWhiteRatio,S10WhiteRatio,S10WeightedWhiteRatio,WhiteRatioDiff_ExactMinusS10,ExactRGBRatio,S10RGBRatio,S10OutputDeltaUv,ExactRGBPoint_x,ExactRGBPoint_y,ExactRGBPoint_Y_lm,S10RGBPoint_x,S10RGBPoint_y,S10RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S10_R_weight,S10_G_weight,S10_B_weight,S10NearestLutIndex0,S10CandidateCount,ErrorMessage
17,32,48,0.16,0.24,0.157894736842105,0.105263157894737,4,1,1,23.7500002948869,23.7500002948869,0,0,0,5.73910290308919e-17,0,1,1,0,0.157894736842105,0.105263157894737,4,0.157894736842105,0.105263157894737,4,0.0521913283190761,0.594463400532806,1.07961744790282,0.0521913283190761,0.594463400532806,1.07961744790282,57,3,
18,29,58,0.145,0.29,0.158566221142163,0.140947752126367,4,1,1,33.6959985977162,33.6959985977162,0,0,0,0,0,1,1,0,0.158566221142163,0.140947752126367,4,0.158566221142163,0.140947752126367,4,0.0468039733610061,0.655603706586615,0.756592529823656,0.0468039733610061,0.655603706586615,0.756592529823656,61,3,
19,27,64,0.135,0.32,0.157997399219766,0.166449934980494,4,1,1,35.6818506146022,35.6818506146022,0,0,0,-4.93385392381855e-17,0,1,1,0,0.157997399219766,0.166449934980494,4,0.157997399219766,0.166449934980494,4,0.0397200519857289,0.685823261498033,0.611487893261187,0.0397200519857289,0.685823261498033,0.611487893261187,64,3,
20,25,72,0.125,0.36,0.160944206008584,0.206008583690987,4,1,1,42.7798776700159,42.7798776700159,0,0,0,0,0,1,1,0,0.160944206008584,0.206008583690987,4,0.160944206008584,0.206008583690987,4,0.0459176524171588,0.710262288070432,0.454874538218081,0.0459176524171588,0.710262288070432,0.454874538218081,68,3,
21,24,78,0.12,0.39,0.166666666666667,0.240740740740741,4,1,1,50.7509066516935,50.7509066516935,0,0,0,0,0,1,1,0,0.166666666666667,0.240740740740741,4,0.166666666666667,0.240740740740741,4,0.0592897381065424,0.719750064038669,0.357970778041496,0.0592897381065424,0.719750064038669,0.357970778041496,70,3,
22,22,84,0.11,0.42,0.166666666666667,0.282828282828283,4,1,1,49.9142354659983,49.9142354659983,0,0,0,0,0,1,1,0,0.166666666666667,0.282828282828283,4,0.166666666666667,0.282828282828283,4,0.0530006243387928,0.738192604153174,0.275887846740245,0.0530006243387928,0.738192604153174,0.275887846740245,73,3,
23,21,91,0.105,0.455,0.176635514018692,0.34018691588785,4,1,1,53.9381518862827,53.9381518862827,0,0,0,0,0,1,1,0,0.176635514018692,0.34018691588785,4,0.176635514018692,0.34018691588785,4,0.0685587739575135,0.743945715697638,0.192601919052048,0.0685587739575135,0.743945715697638,0.192601919052048,118,3,
24,20,95,0.1,0.475,0.18,0.38,4,1,1,51.4289951213857,51.4289951213857,0,0,0,0,0,1,1,0,0.18,0.38,4,0.18,0.38,4,0.0696930763537696,0.750759559274564,0.150891004476098,0.0696930763537696,0.750759559274564,0.150891004476098,120,3,
25,19,98,0.095,0.49,0.180761099365751,0.414376321353066,4,1,1,47.9872749455005,47.9872749455005,0,0,0,0,0,1,1,0,0.180761099365751,0.414376321353066,4,0.180761099365751,0.414376321353066,4,0.0666792723436966,0.7577142347756,0.122051782088789,0.0666792723436966,0.7577142347756,0.122051782088789,121,3,
26,17,105,0.085,0.525,0.186131386861314,0.510948905109489,4,1,1,39.1084013422535,39.1084013422535,0,0,0,0,0,1,1,0,0.186131386861314,0.510948905109489,4,0.186131386861314,0.510948905109489,4,0.0650503709450553,0.769646951309833,0.0609083300539633,0.0650503709450553,0.769646951309833,0.0609083300539633,124,3,
27,15,112,0.075,0.56,0.193409742120344,0.641833810888253,4,1,1,11.1873454107508,11.1873454107934,-4.26076951498544e-11,0,7.24249795956297e-16,6.47025481799759e-16,-7.24249795956297e-16,1,0.999999999999999,0,0.193409742120344,0.641833810888253,4,0.193409742120344,0.641833810888253,4,0.0636250822212442,0.780088078277288,0.00740780952349112,0.0636250822212438,0.780088078277287,0.00740780952349106,127,3,
28,19,112,0.095,0.56,0.236842105263158,0.620498614958449,4,1,1,23.6994704416329,23.6994699504621,4.91170766281357e-07,0,8.74011095693201e-16,8.15560431090059e-16,-8.74011095693201e-16,1,0.999999999999999,0,0.236842105263158,0.620498614958449,4,0.236842105263158,0.620498614958449,4,0.116877786725765,0.74915759613781,0.00447550583031125,0.116877786725765,0.74915759613781,0.00447550583031116,209,3,
29,27,111,0.135,0.555,0.309160305343511,0.564885496183206,4,1,1,44.7612431587419,44.6528068768286,0.108436281913235,0.0498880269248498,0.0466680646190524,0.0466680646190524,0.00321996230579732,0.95011197307515,0.953331935380948,0,0.307024919490672,0.583861580256846,3.8004478923006,0.30717400984243,0.582536690403448,3.81332774152379,0.201274727053843,0.659248629146245,0,0.202559297223867,0.661057811222574,0.000385506130183184,322,3,
30,34,111,0.17,0.555,0.369565217391304,0.536231884057971,4,1,1,27.5560136389025,27.5560136389025,0,0.00664047396376273,0.00664047396376273,0.0186920449505706,0,0.993359526036237,0.993359526036237,0,0.369937449906778,0.538163249021594,3.97343810414495,0.369937449906778,0.538163249021594,3.97343810414495,0.312559686995021,0.628931901548795,0,0.312559686995021,0.628931901548795,0,428,3,
31,41,92,0.205,0.46,0.314310051107325,0.313458262350937,4,1,1,94.8777610850635,94.51872226042,0.359038824643463,0.976923679939428,0.957004820132867,0.957004820132867,0.0199188598065604,0.0230763200605721,0.0429951798671325,0,0.17691798299549,0.0591205881603105,0.0923052802422885,0.196892482386742,0.0960970147336249,0.17198071946853,0.00731687999087698,0.00618021490022493,0.0468012232065615,0.0152633000723558,0.0173719124173228,0.0491859848380449,453,3,
