GridI,GridJ,GridK,Target_u1976,Target_v1976,Best_RGBPoint_u1976,Best_RGBPoint_v1976,Best_Ra,Valid
1,46,103,0.108628462125923,0.386078453246173,0.108628462125923,0.386078453246173,30.5880192823438,1
1,47,102,0.107497150169685,0.38958974018754,0.107497150169685,0.38958974018754,30.7490955042572,1
1,48,101,0.10638763160522,0.393033386323454,0.10638763160522,0.393033386323454,30.9006327107397,1
1,49,100,0.105299282704203,0.396411327538269,0.105299282704203,0.396411327538269,31.0429885905778,1
1,50,99,0.10423150331492,0.399725426540917,0.10423150331492,0.399725426540917,31.1764650074495,1
1,51,98,0.103183715758709,0.40297747629003,0.103183715758709,0.40297747629003,31.3013120415955,1
1,52,97,0.102155363787824,0.406169203228464,0.102155363787824,0.406169203228464,31.4177319151561,1
1,53,96,0.101145911600753,0.409302270339488,0.101145911600753,0.409302270339488,31.5258829625279,1
1,54,95,0.100154842911333,0.412378280035994,0.100154842911333,0.412378280035994,31.6258837971816,1
1,55,94,0.0991816600682624,0.415398776893288,0.0991816600682624,0.415398776893288,31.7178178071574,1
1,56,93,0.0982258832218652,0.418365250235244,0.0982258832218652,0.418365250235244,31.8017380786374,1
1,57,92,0.0972870495351584,0.421279136582925,0.0972870495351584,0.421279136582925,31.877672796967,1
1,58,91,0.0963647124365129,0.424141821974125,0.0963647124365129,0.424141821974125,31.9456311055375,1
1,59,90,0.0954584409113654,0.426954644161708,0.0954584409113654,0.426954644161708,32.0056093169747,1
1,60,89,0.0945678188306216,0.429718894698058,0.0945678188306216,0.429718894698058,32.0575972748431,1
1,61,88,0.0936924443135535,0.432435820912476,0.0936924443135535,0.432435820912476,32.1015845701768,1
1,62,87,0.0928319291231411,0.435106627787877,0.0928319291231411,0.435106627787877,32.1375662428723,1
1,63,86,0.0919858980919459,0.437732479742722,0.0919858980919459,0.437732479742722,32.165547562656,1
1,64,85,0.0911539885767344,0.440314502323722,0.0911539885767344,0.440314502323722,32.1855475042812,1
1,65,84,0.0903358499401844,0.442853783814479,0.0903358499401844,0.442853783814479,32.1976006145597,1
1,66,83,0.0895311430581189,0.445351376764898,0.0895311430581189,0.445351376764898,32.2017571096033,1
1,67,82,0.0887395398508118,0.447808299445893,0.0887395398508118,0.447808299445893,32.1980812200701,1
1,68,81,0.0879607228370061,0.45022553723359,0.0879607228370061,0.45022553723359,32.1866479907474,1
1,69,80,0.087194384709368,0.452604043927001,0.087194384709368,0.452604043927001,32.1675389056906,1
1,70,79,0.0864402279301881,0.454944743002863,0.0864402279301881,0.454944743002863,32.1408368238707,1
1,71,78,0.0856979643462091,0.457248528811108,0.0856979643462091,0.457248528811108,31.8097358672762,1
1,72,77,0.0849673148215335,0.459516267714214,0.0849673148215335,0.459516267714214,31.387509148382,1
1,73,76,0.08424800888763,0.461748799173496,0.08424800888763,0.461748799173496,30.9718473676983,1
1,74,75,0.0835397844095147,0.463946936785188,0.0835397844095147,0.463946936785188,30.5623102550314,1
1,75,74,0.0828423872672428,0.466111469269004,0.0828423872672428,0.466111469269004,30.158466535841,1
1,76,73,0.0821555710518981,0.468243161411708,0.0821555710518981,0.468243161411708,29.7598911023042,1
1,77,72,0.0814790967753149,0.470342754968057,0.0814790967753149,0.470342754968057,29.3661644072379,1
1,78,71,0.0808127325928152,0.47241096952135,0.0808127325928152,0.47241096952135,28.9768768063586,1
1,79,70,0.0801562535382849,0.474448503305682,0.0801562535382849,0.474448503305682,28.5916246400426,1
1,80,69,0.0795094412709532,0.47645603399187,0.0795094412709532,0.47645603399187,28.2100107511315,1
1,81,68,0.0788720838332765,0.478434219438915,0.0788720838332765,0.478434219438915,27.8316485469569,1
1,82,67,0.0782439754193623,0.480383698412755,0.0782439754193623,0.480383698412755,27.4561516692075,1
1,83,66,0.0776249161534028,0.482305091273947,0.0776249161534028,0.482305091273947,27.0831426230185,1
1,84,65,0.0770147118776154,0.484199000635838,0.0770147118776154,0.484199000635838,26.7122501759556,1
1,85,64,0.0764131739492193,0.486066011994702,0.0764131739492193,0.486066011994702,26.3431022676262,1
1,86,63,0.0758201190460008,0.487906694333205,0.0758201190460008,0.487906694333205,25.9753367532068,1
1,87,62,0.075235368980047,0.489721600698533,0.075235368980047,0.489721600698533,25.6085882638054,1
1,88,61,0.0746587505192504,0.491511268756386,0.0746587505192504,0.491511268756386,25.2424971449871,1
1,89,60,0.0740900952162085,0.493276221322035,0.0740900952162085,0.493276221322035,24.8767000086853,1
1,90,59,0.0735292392441632,0.495016966869513,0.0735292392441632,0.495016966869513,24.5108398361668,1
1,91,58,0.0729760232396456,0.496734000020014,0.0729760232396456,0.496734000020014,24.1445542619333,1
1,92,57,0.0724302921515068,0.49842780201045,0.0724302921515068,0.49842780201045,23.7774806168755,1
1,93,56,0.0718918950960356,0.500098841143134,0.0718918950960356,0.500098841143134,23.4092540804372,1
