颜色序号,目标xyY,层级,方法,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确
,"",2,网格法,"(0.15357, 0.09938)","W=0.0795, RGB=0.9205","R=0.0197, G=0.4003, B=0.9341",17.3042166626658,0.00733673586545793,0.079536096261347,-0.0795360962613469,-3.7388943257694
,"",3,纯RGB,"(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",21.0431109884352,0,0,0,0
18,"(0.1586, 0.1409, 1.9570)",1,精确法,"(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",30.1965536923023,0,0,0,0
,"",2,网格法,"(0.15661, 0.13858)","W=0.0278, RGB=0.9722","R=0.0324, G=0.5394, B=0.7479",28.8094609988113,0.00305144661813122,0.0277699798266409,-0.027769979826641,-1.387092693491
,"",3,纯RGB,"(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",30.1965536923024,0,0,0,9.9475983006414e-14
19,"(0.1580, 0.1664, 2.0940)",1,精确法,"(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",31.2780645922979,0,0,0,0
,"",2,网格法,"(0.15222, 0.16055)","W=0.0667, RGB=0.9333","R=0.0012, G=0.5889, B=0.6423",27.7815284940221,0.0082208132602453,0.0666711782248973,-0.066671178224897,-3.4965360982758
,"",3,纯RGB,"(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",31.2780645922979,0,0,0,0
20,"(0.1609, 0.2060, 2.2930)",1,精确法,"(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",37.4971530879328,0,0,0,0
,"",2,网格法,"(0.15498, 0.20130)","W=0.0560, RGB=0.9440","R=0.0117, G=0.6807, B=0.5246",34.4558666174473,0.00755366603844227,0.0560126721407224,-0.056012672140722,-3.0412864704855
,"",3,纯RGB,"(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",37.4971530879328,0,0,0,0
21,"(0.1667, 0.2407, 2.4490)",1,精确法,"(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",45.4163194716924,0,0,0,0
,"",2,网格法,"(0.16015, 0.23672)","W=0.0547, RGB=0.9453","R=0.0319, G=0.7412, B=0.4413",42.3988661659862,0.00766286212619498,0.0546674993014038,-0.054667499301404,-3.0174533057062
,"",3,纯RGB,"(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",45.4163194716924,0,0,0,0
22,"(0.1667, 0.2828, 2.5860)",1,精确法,"(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",44.1596231094779,0,0,0,0
,"",2,网格法,"(0.16261, 0.28137)","W=0.0295, RGB=0.9705","R=0.0364, G=0.8227, B=0.3640",42.5033031310948,0.00433351170147935,0.0295093510269154,-0.029509351026916,-1.6563199783831
,"",3,纯RGB,"(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",44.1596231094779,0,0,0,0
23,"(0.1766, 0.3402, 2.7720)",1,精确法,"(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",49.2828223608565,0,0,0,0
,"",2,网格法,"(0.15642, 0.34029)","W=0.1167, RGB=0.8833","R=0.0048, G=0.8320, B=0.2576",43.6239580392879,0.0201829800651716,0.11667410849661,-0.11667410849661,-5.6588643215686
,"",3,纯RGB,"(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",49.2828223608565,0,0,0,0
24,"(0.1800, 0.3800, 2.8720)",1,精确法,"(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",46.7380323446331,0,0,0,0
,"",2,网格法,"(0.16188, 0.38492)","W=0.0968, RGB=0.9032","R=0.0196, G=0.8864, B=0.2107",41.9235671875712,0.0187728787895851,0.0968236499929878,-0.096823649992988,-4.8144651570619
,"",3,纯RGB,"(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",46.7380323446331,0,0,0,0
25,"(0.1808, 0.4144, 2.9310)",1,精确法,"(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",43.2029885440329,0,0,0,0
,"",2,网格法,"(0.17275, 0.41847)","W=0.0422, RGB=0.9578","R=0.0523, G=0.9546, B=0.1836",41.1346948517243,0.00902304080866962,0.0422131155156843,-0.042213115515684,-2.0682936923086
