Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,9.59594750139067,"(0.15131, 0.11892)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1029, B=1.9066",0,Compare to Exact,0,1,Ratio1
,,RatioK,9.59594750139067,"(0.15131, 0.11892)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1029, B=1.9066",0,Compare to Exact,0,1,Ratio1
,,PureRGB,9.59594750139067,"(0.15131, 0.11892)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1029, B=1.9066",0,Compare to Exact,0,1,Ratio1
10,"(0.1516, 0.1342, 4.0000)",Exact,13.9602248280741,"(0.15157, 0.13420)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1483, B=1.6468",0,Compare to Exact,5.61735733738222e-16,0.999999999999999,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,13.9602248280741,"(0.15157, 0.13420)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1483, B=1.6468",0,Compare to Exact,5.61735733738222e-16,0.999999999999999,Ratio1
,,RatioK,13.9602248280741,"(0.15157, 0.13420)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1483, B=1.6468",0,Compare to Exact,5.61735733738222e-16,0.999999999999999,Ratio1
,,PureRGB,13.9602248280741,"(0.15157, 0.13420)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1483, B=1.6468",0,Compare to Exact,0,1,Ratio1
11,"(0.1518, 0.1509, 4.0000)",Exact,17.5654841368068,"(0.15185, 0.15089)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1873, B=1.4231",0,Compare to Exact,0,1,PureRGB
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,Ratio1,17.5654841368067,"(0.15185, 0.15089)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1873, B=1.4231",9.9475983006414e-14,Compare to Exact,4.99585185784037e-16,0.999999999999999,PureRGB
,,RatioK,17.5654841368067,"(0.15185, 0.15089)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1873, B=1.4231",9.9475983006414e-14,Compare to Exact,4.99585185784037e-16,0.999999999999999,PureRGB
,,PureRGB,17.5654841368068,"(0.15185, 0.15089)","W=0.0000, RGB=1.0000","R=0.0000, G=1.1873, B=1.4231",0,Compare to Exact,0,1,PureRGB
12,"(0.1522, 0.1692, 4.0000)",Exact,20.5637321865146,"(0.15216, 0.16921)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2213, B=1.2284",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,20.5637321865146,"(0.15216, 0.16921)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2213, B=1.2284",0,Compare to Exact,0,1,Ratio1
,,RatioK,20.5637321865146,"(0.15216, 0.16921)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2213, B=1.2284",0,Compare to Exact,0,1,Ratio1
,,PureRGB,20.5637321865146,"(0.15216, 0.16921)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2213, B=1.2284",0,Compare to Exact,0,1,Ratio1
13,"(0.1525, 0.1894, 4.0000)",Exact,23.0788432474159,"(0.15249, 0.18940)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2512, B=1.0574",0,Compare to Exact,3.98006433934826e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,23.0788432474158,"(0.15249, 0.18940)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2512, B=1.0574",9.9475983006414e-14,Compare to Exact,0,1,Ratio1
,,RatioK,23.0788432474158,"(0.15249, 0.18940)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2512, B=1.0574",9.9475983006414e-14,Compare to Exact,0,1,Ratio1
,,PureRGB,23.0788432474158,"(0.15249, 0.18940)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2512, B=1.0574",9.9475983006414e-14,Compare to Exact,0,1,Ratio1
14,"(0.1529, 0.2118, 4.0000)",Exact,25.2053901463938,"(0.15287, 0.21177)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2776, B=0.9061",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,25.2053901463938,"(0.15287, 0.21177)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2776, B=0.9061",0,Compare to Exact,0,1,Ratio1
,,RatioK,25.2053901463938,"(0.15287, 0.21177)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2776, B=0.9061",0,Compare to Exact,0,1,Ratio1
,,PureRGB,25.2053901463938,"(0.15287, 0.21177)","W=0.0000, RGB=1.0000","R=0.0000, G=1.2776, B=0.9061",0,Compare to Exact,0,1,Ratio1
15,"(0.1533, 0.2367, 4.0000)",Exact,27.0140814319201,"(0.15329, 0.23669)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3011, B=0.7712",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,27.0140814319201,"(0.15329, 0.23669)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3011, B=0.7712",0,Compare to Exact,0,1,Ratio1
,,RatioK,27.0140814319201,"(0.15329, 0.23669)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3011, B=0.7712",0,Compare to Exact,0,1,Ratio1
,,PureRGB,27.0140814319201,"(0.15329, 0.23669)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3011, B=0.7712",0,Compare to Exact,0,1,Ratio1
16,"(0.1538, 0.2646, 4.0000)",Exact,28.5576682729807,"(0.15376, 0.26461)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3223, B=0.6502",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,28.5576682729807,"(0.15376, 0.26461)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3223, B=0.6502",0,Compare to Exact,0,1,Ratio1
,,RatioK,28.5576682729807,"(0.15376, 0.26461)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3223, B=0.6502",0,Compare to Exact,0,1,Ratio1
,,PureRGB,28.5576682729807,"(0.15376, 0.26461)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3223, B=0.6502",0,Compare to Exact,0,1,Ratio1
17,"(0.1543, 0.2961, 4.0000)",Exact,29.873214964205,"(0.15428, 0.29613)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3413, B=0.5410",0,Compare to Exact,0,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,29.873214964205,"(0.15428, 0.29613)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3413, B=0.5410",0,Compare to Exact,0,1,Ratio1
,,RatioK,29.873214964205,"(0.15428, 0.29613)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3413, B=0.5410",0,Compare to Exact,0,1,Ratio1
,,PureRGB,29.873214964205,"(0.15428, 0.29613)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3413, B=0.5410",0,Compare to Exact,0,1,Ratio1
18,"(0.1549, 0.3320, 4.0000)",Exact,30.9635187731484,"(0.15489, 0.33197)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3586, B=0.4421",0,Compare to Exact,-2.27082437336765e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,30.9635187731484,"(0.15489, 0.33197)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3586, B=0.4421",0,Compare to Exact,-2.27082437336765e-16,1,Ratio1
,,RatioK,30.9635187731484,"(0.15489, 0.33197)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3586, B=0.4421",0,Compare to Exact,-2.27082437336765e-16,1,Ratio1
,,PureRGB,30.9635187731484,"(0.15489, 0.33197)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3586, B=0.4421",0,Compare to Exact,0,1,Ratio1
19,"(0.1556, 0.3731, 4.0000)",Exact,28.8463390882059,"(0.15558, 0.37310)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3743, B=0.3520",0,Compare to Exact,-2.02049662336195e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,28.8463390882059,"(0.15558, 0.37310)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3743, B=0.3520",0,Compare to Exact,-2.02049662336195e-16,1,Ratio1
,,RatioK,28.8463390882059,"(0.15558, 0.37310)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.3743, B=0.3520",0,Compare to Exact,-2.02049662336195e-16,1,Ratio1
,,PureRGB,28.8463383759864,"(0.15558, 0.37310)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3743, B=0.3520",7.12219502929656e-07,Compare to Exact,0,1,Ratio1
20,"(0.1564, 0.4208, 4.0000)",Exact,25.6217453751415,"(0.15637, 0.42077)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3887, B=0.2695",0,Compare to Exact,1.79155407717701e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,25.6217420955088,"(0.15637, 0.42077)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3887, B=0.2695",3.27963270052578e-06,Compare to Exact,0,1,Ratio1
,,RatioK,25.6217420955088,"(0.15637, 0.42077)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3887, B=0.2695",3.27963270052578e-06,Compare to Exact,0,1,Ratio1
,,PureRGB,25.6217420955088,"(0.15637, 0.42077)","W=0.0000, RGB=1.0000","R=0.0000, G=1.3887, B=0.2695",3.27963270052578e-06,Compare to Exact,0,1,Ratio1
21,"(0.1573, 0.4767, 4.0000)",Exact,22.0914768479842,"(0.15731, 0.47670)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4019, B=0.1939",0,Compare to Exact,1.58136862398298e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,22.0914768479842,"(0.15731, 0.47670)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4019, B=0.1939",0,Compare to Exact,1.58136862398298e-16,1,Ratio1
