Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
,,Ratio1,-60.5850270738218,"(0.30462, 0.10492)","W=0.4382, RGB=0.5618","R=1.5637, G=0.0054, B=1.0017",0.498104879426698,Compare to Exact,0.438158707975493,0.561841292024507,RatioK
,,RatioK,-60.0869221943951,"(0.30455, 0.10422)","W=0.4436, RGB=0.5564","R=1.5584, G=0.0000, B=1.0002",0,Compare to Exact,0.443590970819636,0.556409029180364,RatioK
,,PureRGB,-102.13532995975,"(0.30936, 0.15048)","W=0.0000, RGB=1.0000","R=1.9909, G=0.4424, B=1.1218",42.0484077653549,Compare to Exact,0,1,RatioK
170,"(0.3167, 0.1674, 4.0000)",Exact,-40.3805253477156,"(0.31249, 0.10795)","W=0.5208, RGB=0.4792","R=1.3623, G=0.0000, B=0.8152",0,Compare to Exact,0.520822086684462,0.479177913315538,RatioK
,,Projection1,-46.7283241461995,"(0.31321, 0.11807)","W=0.4519, RGB=0.5481","R=1.4294, G=0.0687, B=0.8341",6.3477987984839,Compare to Exact,0.451911817253007,0.548088182746993,RatioK
,,ProjectionK,-47.5394576365362,"(0.31330, 0.11930)","W=0.4432, RGB=0.5568","R=1.4380, G=0.0775, B=0.8365",7.1589322888206,Compare to Exact,0.443158466922589,0.556841533077411,RatioK
,,Ratio1,-40.9299389059674,"(0.31255, 0.10886)","W=0.5148, RGB=0.4852","R=1.3681, G=0.0060, B=0.8168",0.5494135582518,Compare to Exact,0.514826838177883,0.485173161822117,RatioK
,,RatioK,-40.3805253477156,"(0.31249, 0.10795)","W=0.5208, RGB=0.4792","R=1.3623, G=0.0000, B=0.8152",0,Compare to Exact,0.520822086684462,0.479177913315538,RatioK
,,PureRGB,-89.5207066486183,"(0.31674, 0.16742)","W=0.0000, RGB=1.0000","R=1.8700, G=0.5195, B=0.9579",49.1401813009027,Compare to Exact,0,1,RatioK
171,"(0.3248, 0.1860, 4.0000)",Exact,-27.3446431407563,"(0.32279, 0.11279)","W=0.5892, RGB=0.4108","R=1.1885, G=0.0000, B=0.6513",0,Compare to Exact,0.589211622851473,0.410788377148527,RatioK
,,Projection1,-32.6667415894295,"(0.32308, 0.12317)","W=0.5299, RGB=0.4701","R=1.2464, G=0.0592, B=0.6676",5.3220984486732,Compare to Exact,0.52987802102865,0.47012197897135,RatioK
,,ProjectionK,-33.4708784043779,"(0.32312, 0.12465)","W=0.5210, RGB=0.4790","R=1.2551, G=0.0681, B=0.6700",6.1262352636216,Compare to Exact,0.520960295018885,0.479039704981115,RatioK
,,Ratio1,-27.916076805859,"(0.32283, 0.11396)","W=0.5828, RGB=0.4172","R=1.1948, G=0.0064, B=0.6531",0.571433665102699,Compare to Exact,0.582813154557363,0.417186845442637,RatioK
,,RatioK,-27.3446431407563,"(0.32279, 0.11279)","W=0.5892, RGB=0.4108","R=1.1885, G=0.0000, B=0.6513",0,Compare to Exact,0.589211622851473,0.410788377148527,RatioK
,,PureRGB,-81.6409932369738,"(0.32481, 0.18596)","W=0.0000, RGB=1.0000","R=1.7630, G=0.5877, B=0.8127",54.2963500962175,Compare to Exact,0,1,RatioK
172,"(0.3337, 0.2063, 4.0000)",Exact,7.13574225209799,"(0.33671, 0.11933)","W=0.6502, RGB=0.3498","R=1.0336, G=0.0000, B=0.5052",0,Compare to Exact,0.650195679265972,0.349804320734028,Ratio1
,,Projection1,2.87559643526028,"(0.33636, 0.12951)","W=0.6020, RGB=0.3980","R=1.0807, G=0.0481, B=0.5184",4.26014581683771,Compare to Exact,0.601955197351645,0.398044802648355,Ratio1
,,ProjectionK,2.06816776077251,"(0.33630, 0.13132)","W=0.5928, RGB=0.4072","R=1.0896, G=0.0572, B=0.5209",5.06757449132548,Compare to Exact,0.592845154734422,0.407154845265578,Ratio1
,,Ratio1,7.13574225209799,"(0.33671, 0.11933)","W=0.6502, RGB=0.3498","R=1.0336, G=0.0000, B=0.5052",0,Compare to Exact,0.650195679265972,0.349804320734028,Ratio1
,,RatioK,7.13574225209799,"(0.33671, 0.11933)","W=0.6502, RGB=0.3498","R=1.0336, G=0.0000, B=0.5052",0,Compare to Exact,0.650195679265972,0.349804320734028,Ratio1
,,PureRGB,-51.6225764615401,"(0.33368, 0.20633)","W=0.0000, RGB=1.0000","R=1.6675, G=0.6485, B=0.6833",58.7583187136381,Compare to Exact,0,1,Ratio1
173,"(0.3435, 0.2288, 4.0000)",Exact,26.7124900250251,"(0.35654, 0.12864)","W=0.7049, RGB=0.2951","R=0.8946, G=0.0000, B=0.3741",0,Compare to Exact,0.704915317079889,0.295084682920111,Ratio1
,,Projection1,23.8122022817722,"(0.35539, 0.13749)","W=0.6708, RGB=0.3292","R=0.9279, G=0.0340, B=0.3834",2.9002877432529,Compare to Exact,0.670797863296841,0.329202136703159,Ratio1
,,ProjectionK,23.0585312172347,"(0.35511, 0.13966)","W=0.6620, RGB=0.3380","R=0.9365, G=0.0428, B=0.3858",3.6539588077904,Compare to Exact,0.661964621738991,0.338035378261009,Ratio1
,,Ratio1,26.7124900250251,"(0.35654, 0.12864)","W=0.7049, RGB=0.2951","R=0.8946, G=0.0000, B=0.3741",0,Compare to Exact,0.704915317079889,0.295084682920111,Ratio1
,,RatioK,26.7124900250251,"(0.35654, 0.12864)","W=0.7049, RGB=0.2951","R=0.8946, G=0.0000, B=0.3741",0,Compare to Exact,0.704915317079889,0.295084682920111,Ratio1
,,PureRGB,-35.1663504268216,"(0.34348, 0.22882)","W=0.0000, RGB=1.0000","R=1.5819, G=0.7031, B=0.5672",61.8788404518467,Compare to Exact,0,1,Ratio1
174,"(0.3544, 0.2538, 4.0000)",Exact,41.5201684715414,"(0.38707, 0.14298)","W=0.7543, RGB=0.2457","R=0.7692, G=0.0000, B=0.2558",0,Compare to Exact,0.754288624861684,0.245711375138316,Ratio1
,,Projection1,40.2821441002425,"(0.38564, 0.14781)","W=0.7396, RGB=0.2604","R=0.7836, G=0.0147, B=0.2598",1.23802437129891,Compare to Exact,0.739576400922,0.260423599078,Ratio1
,,ProjectionK,39.5281047028077,"(0.38481, 0.15063)","W=0.7306, RGB=0.2694","R=0.7923, G=0.0236, B=0.2623",1.9920637687337,Compare to Exact,0.730639070298002,0.269360929701998,Ratio1
,,Ratio1,41.5201684715414,"(0.38707, 0.14298)","W=0.7543, RGB=0.2457","R=0.7692, G=0.0000, B=0.2558",0,Compare to Exact,0.754288624861684,0.245711375138316,Ratio1
,,RatioK,41.5201684715414,"(0.38707, 0.14298)","W=0.7543, RGB=0.2457","R=0.7692, G=0.0000, B=0.2558",0,Compare to Exact,0.754288624861684,0.245711375138316,Ratio1
,,PureRGB,-24.5713380104004,"(0.35435, 0.25379)","W=0.0000, RGB=1.0000","R=1.5046, G=0.7523, B=0.4624",66.0915064819418,Compare to Exact,0,1,Ratio1
175,"(0.3665, 0.2817, 4.0000)",Exact,54.1413371994125,"(0.44012, 0.16790)","W=0.7991, RGB=0.2009","R=0.6555, G=0.0000, B=0.1485",0,Compare to Exact,0.799062645186459,0.200937354813541,Ratio1
,,Projection1,52.6817030434783,"(0.43562, 0.17485)","W=0.7819, RGB=0.2181","R=0.6722, G=0.0171, B=0.1532",1.4596341559342,Compare to Exact,0.78191584855561,0.21808415144439,Ratio1
,,ProjectionK,52.4147957634565,"(0.43484, 0.17605)","W=0.7788, RGB=0.2212","R=0.6753, G=0.0202, B=0.1541",1.72654143595599,Compare to Exact,0.778790219466469,0.221209780533531,Ratio1
,,Ratio1,54.1413371994126,"(0.44012, 0.16790)","W=0.7991, RGB=0.2009","R=0.6555, G=0.0000, B=0.1485",-9.9475983006414e-14,Compare to Exact,0.799062645186459,0.200937354813541,Ratio1
,,RatioK,54.1413371994126,"(0.44012, 0.16790)","W=0.7991, RGB=0.2009","R=0.6555, G=0.0000, B=0.1485",-9.9475983006414e-14,Compare to Exact,0.799062645186459,0.200937354813541,Ratio1
,,PureRGB,-15.8948746207138,"(0.36649, 0.28166)","W=0.0000, RGB=1.0000","R=1.4345, G=0.7970, B=0.3674",70.0362118201263,Compare to Exact,0,1,Ratio1
176,"(0.3801, 0.3130, 4.0000)",Exact,65.0601525610954,"(0.55523, 0.22197)","W=0.8399, RGB=0.1601","R=0.5519, G=0.0000, B=0.0508",0,Compare to Exact,0.839851435636395,0.160148564363605,Ratio1
,,Projection1,56.2648998246995,"(0.48943, 0.25616)","W=0.7394, RGB=0.2606","R=0.6499, G=0.1002, B=0.0783",8.79525273639591,Compare to Exact,0.739363107570639,0.260636892429361,Ratio1
,,ProjectionK,57.2570792835377,"(0.49485, 0.25334)","W=0.7507, RGB=0.2493","R=0.6388, G=0.0890, B=0.0752",7.80307327755771,Compare to Exact,0.750657066165562,0.249342933834438,Ratio1
,,Ratio1,65.0601525610954,"(0.55523, 0.22197)","W=0.8399, RGB=0.1601","R=0.5519, G=0.0000, B=0.0508",0,Compare to Exact,0.839851435636395,0.160148564363605,Ratio1
,,RatioK,64.4001579177748,"(0.54844, 0.22550)","W=0.8323, RGB=0.1677","R=0.5593, G=0.0076, B=0.0528",0.659994643320601,Compare to Exact,0.832265759612476,0.167734240387524,Ratio1
,,PureRGB,-8.22842994341328,"(0.38012, 0.31296)","W=0.0000, RGB=1.0000","R=1.3707, G=0.8377, B=0.2808",73.2885825045087,Compare to Exact,0,1,Ratio1
177,"(0.3955, 0.3484, 4.0000)",Exact,62.3778509677935,"(0.60089, 0.37582)","W=0.7361, RGB=0.2639","R=0.5946, G=0.1407, B=0.0000",0,Compare to Exact,0.736115729207836,0.263884270792164,RatioK
,,Projection1,59.2795409105798,"(0.56576, 0.37112)","W=0.7007, RGB=0.2993","R=0.6291, G=0.1760, B=0.0097",3.0983100572137,Compare to Exact,0.700747429260593,0.299252570739407,RatioK
,,ProjectionK,58.4990467110609,"(0.55830, 0.37013)","W=0.6918, RGB=0.3082","R=0.6378, G=0.1848, B=0.0121",3.8788042567326,Compare to Exact,0.691832859004832,0.308167140995168,RatioK
,,Ratio1,59.2615945908351,"(0.56559, 0.37110)","W=0.7005, RGB=0.2995","R=0.6293, G=0.1762, B=0.0097",3.1162563769584,Compare to Exact,0.700542475946312,0.299457524053688,RatioK
,,RatioK,61.1196289979748,"(0.58544, 0.37375)","W=0.7218, RGB=0.2782","R=0.6086, G=0.1550, B=0.0039",1.2582219698187,Compare to Exact,0.721756207971685,0.278243792028315,RatioK
,,PureRGB,-1.24069716200247,"(0.39554, 0.34838)","W=0.0000, RGB=1.0000","R=1.3123, G=0.8749, B=0.2017",63.618548129796,Compare to Exact,0,1,RatioK
178,"(0.4131, 0.3888, 4.0000)",Exact,45.266261449061,"(0.51147, 0.44643)","W=0.4707, RGB=0.5293","R=0.7998, G=0.4396, B=0.0000",0,Compare to Exact,0.47068888710269,0.52931111289731,RatioK
,,Projection1,43.7761288487927,"(0.50395, 0.44202)","W=0.4534, RGB=0.5466","R=0.8166, G=0.4569, B=0.0047",1.4901326002683,Compare to Exact,0.453374603352838,0.546625396647162,RatioK
,,ProjectionK,43.2524287506184,"(0.50145, 0.44056)","W=0.4473, RGB=0.5527","R=0.8226, G=0.4629, B=0.0064",2.0138326984426,Compare to Exact,0.447286268063681,0.552713731936319,RatioK
,,Ratio1,43.3851108139483,"(0.50208, 0.44092)","W=0.4488, RGB=0.5512","R=0.8211, G=0.4614, B=0.0060",1.8811506351127,Compare to Exact,0.448828941790101,0.551171058209899,RatioK
,,RatioK,44.3334481613532,"(0.50669, 0.44363)","W=0.4599, RGB=0.5401","R=0.8103, G=0.4504, B=0.0030",0.932813287707795,Compare to Exact,0.459851888857687,0.540148111142313,RatioK
,,PureRGB,5.18268767771762,"(0.41314, 0.38879)","W=0.0000, RGB=1.0000","R=1.2587, G=0.9091, B=0.1289",40.0835737713434,Compare to Exact,0,1,RatioK
179,"(0.4334, 0.4353, 4.0000)",Exact,29.7125821387991,"(0.47601, 0.47444)","W=0.2261, RGB=0.7739","R=0.9888, G=0.7150, B=0.0000",0,Compare to Exact,0.226104372227994,0.773895627772006,RatioK
,,Projection1,29.1384986654944,"(0.47422, 0.47280)","W=0.2193, RGB=0.7807","R=0.9955, G=0.7218, B=0.0019",0.5740834733047,Compare to Exact,0.219275285396029,0.780724714603971,RatioK
,,ProjectionK,28.9503442167404,"(0.47364, 0.47227)","W=0.2170, RGB=0.7830","R=0.9976, G=0.7241, B=0.0025",0.762237922058699,Compare to Exact,0.217036710566501,0.782963289433499,RatioK
,,Ratio1,28.862992930464,"(0.47337, 0.47202)","W=0.2160, RGB=0.7840","R=0.9987, G=0.7251, B=0.0028",0.8495892083351,Compare to Exact,0.215997384884331,0.784002615115669,RatioK
,,RatioK,29.3004788828706,"(0.47472, 0.47326)","W=0.2212, RGB=0.7788","R=0.9936, G=0.7199, B=0.0013",0.4121032559285,Compare to Exact,0.221202309296963,0.778797690703037,RatioK
,,PureRGB,10.7832029654501,"(0.43340, 0.43532)","W=0.0000, RGB=1.0000","R=1.2092, G=0.9405, B=0.0619",18.929379173349,Compare to Exact,0,1,RatioK
180,"(0.4570, 0.4895, 4.0000)",Exact,8.78012684020009,"(0.45698, 0.48947)","W=0.0000, RGB=1.0000","R=1.1636, G=0.9697, B=0.0000",0,Compare to Exact,1.54011756245362e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,8.78012683938989,"(0.45698, 0.48947)","W=0.0000, RGB=1.0000","R=1.1636, G=0.9697, B=0.0000",8.10199907164133e-10,Compare to Exact,4.62035268736087e-16,1,Ratio1
,,RatioK,8.78012683938989,"(0.45698, 0.48947)","W=0.0000, RGB=1.0000","R=1.1636, G=0.9697, B=0.0000",8.10199907164133e-10,Compare to Exact,4.62035268736087e-16,1,Ratio1
,,PureRGB,8.78012683938987,"(0.45698, 0.48947)","W=0.0000, RGB=1.0000","R=1.1636, G=0.9697, B=0.0000",8.10219447089366e-10,Compare to Exact,0,1,Ratio1
181,"(0.3053, 0.1046, 4.0000)",Exact,-219.825856882855,"(0.30531, 0.10458)","W=0.0000, RGB=1.0000","R=2.8051, G=0.0000, B=1.7880",0,Compare to Exact,0,1,PureRGB
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,PureRGB
,,Ratio1,-219.825856882856,"(0.30531, 0.10458)","W=-0.0000, RGB=1.0000","R=2.8051, G=0.0000, B=1.7880",9.9475983006414e-13,Compare to Exact,-7.2084008962086e-16,1,PureRGB
,,RatioK,-219.825856882856,"(0.30531, 0.10458)","W=-0.0000, RGB=1.0000","R=2.8051, G=0.0000, B=1.7880",9.9475983006414e-13,Compare to Exact,-7.2084008962086e-16,1,PureRGB
,,PureRGB,-219.825856882855,"(0.30531, 0.10458)","W=0.0000, RGB=1.0000","R=2.8051, G=0.0000, B=1.7880",0,Compare to Exact,0,1,PureRGB
182,"(0.3115, 0.1174, 4.0000)",Exact,-161.722055804931,"(0.31073, 0.10712)","W=0.1285, RGB=0.8715","R=2.4697, G=0.0000, B=1.5008",0,Compare to Exact,0.128486024883534,0.871513975116466,Ratio1
,,Projection1,-171.217340991746,"(0.31128, 0.11416)","W=0.0422, RGB=0.9578","R=2.5539, G=0.0861, B=1.5244",9.49528518681501,Compare to Exact,0.0421972857542259,0.957802714245774,Ratio1
,,ProjectionK,-169.037888192708,"(0.31116, 0.11260)","W=0.0617, RGB=0.9383","R=2.5348, G=0.0666, B=1.5191",7.31583238777702,Compare to Exact,0.0617135777340479,0.938286422265952,Ratio1
,,Ratio1,-161.918261311288,"(0.31074, 0.10727)","W=0.1267, RGB=0.8733","R=2.4715, G=0.0018, B=1.5013",0.196205506357018,Compare to Exact,0.126666556641438,0.873333443358562,Ratio1
,,RatioK,-162.018266038298,"(0.31074, 0.10735)","W=0.1257, RGB=0.8743","R=2.4724, G=0.0027, B=1.5015",0.29621023336702,Compare to Exact,0.125739852427398,0.874260147572603,Ratio1
,,PureRGB,-175.985521654059,"(0.31154, 0.11745)","W=0.0000, RGB=1.0000","R=2.5950, G=0.1282, B=1.5360",14.263465849128,Compare to Exact,0,1,Ratio1
183,"(0.3183, 0.1314, 4.0000)",Exact,-120.249455001409,"(0.31717, 0.11015)","W=0.2391, RGB=0.7609","R=2.1811, G=0.0000, B=1.2535",0,Compare to Exact,0.239067479507718,0.760932520492282,Ratio1
,,Projection1,-128.447542741633,"(0.31755, 0.11736)","W=0.1629, RGB=0.8371","R=2.2554, G=0.0760, B=1.2744",8.19808774022398,Compare to Exact,0.162883502595024,0.837116497404976,Ratio1
,,ProjectionK,-129.276561843761,"(0.31758, 0.11806)","W=0.1553, RGB=0.8447","R=2.2628, G=0.0836, B=1.2765",9.02710684235198,Compare to Exact,0.155265406197236,0.844734593802764,Ratio1
,,Ratio1,-120.585105482797,"(0.31719, 0.11046)","W=0.2359, RGB=0.7641","R=2.1842, G=0.0031, B=1.2544",0.335650481388001,Compare to Exact,0.235914853782842,0.764085146217158,Ratio1
,,RatioK,-120.589399357398,"(0.31719, 0.11046)","W=0.2359, RGB=0.7641","R=2.1842, G=0.0032, B=1.2544",0.33994435598899,Compare to Exact,0.23587454346406,0.76412545653594,Ratio1
,,PureRGB,-146.467326329763,"(0.31827, 0.13136)","W=0.0000, RGB=1.0000","R=2.4142, G=0.2384, B=1.3190",26.217871328354,Compare to Exact,0,1,Ratio1
184,"(0.3256, 0.1465, 4.0000)",Exact,-50.8374612196421,"(0.32498, 0.11382)","W=0.3352, RGB=0.6648","R=1.9301, G=0.0000, B=1.0385",0,Compare to Exact,0.335243100536382,0.664756899463618,RatioK
,,Projection1,-56.3893491810675,"(0.32511, 0.12112)","W=0.2689, RGB=0.7311","R=1.9947, G=0.0661, B=1.0567",5.5518879614254,Compare to Exact,0.268942670133536,0.731057329866464,RatioK
,,ProjectionK,-57.0287475682445,"(0.32513, 0.12193)","W=0.2613, RGB=0.7387","R=2.0022, G=0.0737, B=1.0588",6.1912863486024,Compare to Exact,0.261344313388841,0.738655686611159,RatioK
,,Ratio1,-51.181957743273,"(0.32499, 0.11429)","W=0.3311, RGB=0.6689","R=1.9341, G=0.0041, B=1.0396",0.344496523630902,Compare to Exact,0.331106600296363,0.668893399703637,RatioK
,,RatioK,-50.8374612196421,"(0.32498, 0.11382)","W=0.3352, RGB=0.6648","R=1.9301, G=0.0000, B=1.0385",0,Compare to Exact,0.335243100536382,0.664756899463618,RatioK
,,PureRGB,-79.1416780342377,"(0.32557, 0.14645)","W=0.0000, RGB=1.0000","R=2.2569, G=0.3344, B=1.1304",28.3042168145956,Compare to Exact,0,1,RatioK
185,"(0.3335, 0.1629, 4.0000)",Exact,-29.3508765431983,"(0.33464, 0.11835)","W=0.4197, RGB=0.5803","R=1.7098, G=0.0000, B=0.8498",0,Compare to Exact,0.419655785822734,0.580344214177266,RatioK
,,Projection1,-33.8857850654267,"(0.33446, 0.12557)","W=0.3635, RGB=0.6365","R=1.7645, G=0.0560, B=0.8652",4.5349085222284,Compare to Exact,0.363502918026878,0.636497081973122,RatioK
,,ProjectionK,-34.4956004737917,"(0.33443, 0.12650)","W=0.3560, RGB=0.6440","R=1.7719, G=0.0635, B=0.8672",5.1447239305934,Compare to Exact,0.355966047174574,0.644033952825426,RatioK
,,Ratio1,-29.7430414207879,"(0.33462, 0.11900)","W=0.4148, RGB=0.5852","R=1.7145, G=0.0049, B=0.8511",0.3921648775896,Compare to Exact,0.414790718265553,0.585209281734447,RatioK
,,RatioK,-29.3508765431983,"(0.33464, 0.11835)","W=0.4197, RGB=0.5803","R=1.7098, G=0.0000, B=0.8498",0,Compare to Exact,0.419655785822734,0.580344214177266,RatioK
,,PureRGB,-63.3884606355674,"(0.33351, 0.16288)","W=0.0000, RGB=1.0000","R=2.1189, G=0.4186, B=0.9648",34.0375840923691,Compare to Exact,0,1,RatioK
186,"(0.3422, 0.1808, 4.0000)",Exact,-10.7799721615782,"(0.34689, 0.12411)","W=0.4943, RGB=0.5057","R=1.5149, G=0.0000, B=0.6828",0,Compare to Exact,0.494339200917636,0.505660799082364,RatioK
,,Projection1,-14.3117375849332,"(0.34633, 0.13091)","W=0.4492, RGB=0.5508","R=1.5589, G=0.0450, B=0.6952",3.531765423355,Compare to Exact,0.449199381585399,0.550800618414601,RatioK
,,ProjectionK,-14.8859678466738,"(0.34624, 0.13198)","W=0.4419, RGB=0.5581","R=1.5660, G=0.0523, B=0.6972",4.1059956850956,Compare to Exact,0.441869545295431,0.558130454704569,RatioK
,,Ratio1,-13.033641302145,"(0.34652, 0.12850)","W=0.4655, RGB=0.5345","R=1.5430, G=0.0287, B=0.6907",2.2536691405668,Compare to Exact,0.4655227484069,0.5344772515931,RatioK
,,RatioK,-10.7799721615782,"(0.34689, 0.12411)","W=0.4943, RGB=0.5057","R=1.5149, G=0.0000, B=0.6828",0,Compare to Exact,0.494339200917636,0.505660799082364,RatioK
,,PureRGB,-49.892871660867,"(0.34219, 0.18082)","W=0.0000, RGB=1.0000","R=1.9968, G=0.4931, B=0.8182",39.1128994992888,Compare to Exact,0,1,RatioK
187,"(0.3517, 0.2005, 4.0000)",Exact,5.58727393309123,"(0.36293, 0.13164)","W=0.5609, RGB=0.4391","R=1.3412, G=0.0000, B=0.5340",0,Compare to Exact,0.560883761472898,0.439116238527102,RatioK
,,Projection1,3.10322653946485,"(0.36199, 0.13744)","W=0.5284, RGB=0.4716","R=1.3728, G=0.0324, B=0.5429",2.48404739362638,Compare to Exact,0.528407098437509,0.471592901562491,RatioK
,,ProjectionK,2.59107479031392,"(0.36180, 0.13859)","W=0.5217, RGB=0.4783","R=1.3794, G=0.0391, B=0.5448",2.99619914277731,Compare to Exact,0.521723634926437,0.478276365073563,RatioK
,,Ratio1,3.21538170331149,"(0.36203, 0.13718)","W=0.5299, RGB=0.4701","R=1.3714, G=0.0309, B=0.5425",2.37189222977974,Compare to Exact,0.529871277352481,0.470128722647519,RatioK
,,RatioK,5.58727393309123,"(0.36293, 0.13164)","W=0.5609, RGB=0.4391","R=1.3412, G=0.0000, B=0.5340",0,Compare to Exact,0.560883761472898,0.439116238527102,RatioK
,,PureRGB,-39.152691119575,"(0.35171, 0.20049)","W=0.0000, RGB=1.0000","R=1.8880, G=0.5594, B=0.6877",44.7399650526662,Compare to Exact,0,1,RatioK
188,"(0.3622, 0.2222, 4.0000)",Exact,20.1566434202692,"(0.38486, 0.14194)","W=0.6206, RGB=0.3794","R=1.1855, G=0.0000, B=0.4006",0,Compare to Exact,0.620551154392035,0.379448845607965,RatioK
,,Projection1,18.8450773905221,"(0.38382, 0.14563)","W=0.6033, RGB=0.3967","R=1.2023, G=0.0172, B=0.4054",1.3115660297471,Compare to Exact,0.603292472712892,0.396707527287108,RatioK
,,ProjectionK,18.211791354944,"(0.38333, 0.14735)","W=0.5950, RGB=0.4050","R=1.2104, G=0.0255, B=0.4076",1.9448520653252,Compare to Exact,0.594986243912507,0.405013756087493,RatioK
,,Ratio1,17.6718899670734,"(0.38292, 0.14880)","W=0.5879, RGB=0.4121","R=1.2173, G=0.0325, B=0.4096",2.4847534531958,Compare to Exact,0.587919294950952,0.412080705049048,RatioK
,,RatioK,20.1566434202692,"(0.38486, 0.14194)","W=0.6206, RGB=0.3794","R=1.1855, G=0.0000, B=0.4006",0,Compare to Exact,0.620551154392035,0.379448845607965,RatioK
,,PureRGB,-30.6344156494211,"(0.36219, 0.22217)","W=0.0000, RGB=1.0000","R=1.7905, G=0.6189, B=0.5706",50.7910590696903,Compare to Exact,0,1,RatioK
189,"(0.3738, 0.2462, 4.0000)",Exact,33.0936597308352,"(0.41662, 0.15686)","W=0.6744, RGB=0.3256","R=1.0450, G=0.0000, B=0.2804",0,Compare to Exact,0.674355097373477,0.325644902626523,Ratio1
,,Projection1,33.0131485357169,"(0.41650, 0.15713)","W=0.6733, RGB=0.3267","R=1.0460, G=0.0010, B=0.2806",0.080511195118298,Compare to Exact,0.673320273802681,0.326679726197319,Ratio1
,,ProjectionK,33.0004011574372,"(0.41648, 0.15717)","W=0.6732, RGB=0.3268","R=1.0462, G=0.0012, B=0.2807",0.0932585733979963,Compare to Exact,0.673156482141591,0.326843517858409,Ratio1
,,Ratio1,33.0936597308352,"(0.41662, 0.15686)","W=0.6744, RGB=0.3256","R=1.0450, G=0.0000, B=0.2804",0,Compare to Exact,0.674355097373477,0.325644902626523,Ratio1
,,RatioK,33.0936597308352,"(0.41662, 0.15686)","W=0.6744, RGB=0.3256","R=1.0450, G=0.0000, B=0.2804",0,Compare to Exact,0.674355097373477,0.325644902626523,Ratio1
,,PureRGB,-23.1436269960938,"(0.37380, 0.24616)","W=0.0000, RGB=1.0000","R=1.7025, G=0.6726, B=0.4651",56.237286726929,Compare to Exact,0,1,Ratio1
190,"(0.3867, 0.2729, 4.0000)",Exact,44.455384379193,"(0.46678, 0.18042)","W=0.7231, RGB=0.2769","R=0.9177, G=0.0000, B=0.1713",0,Compare to Exact,0.723119405025124,0.276880594974876,Ratio1
,,Projection1,41.2115436734771,"(0.45706, 0.19165)","W=0.6836, RGB=0.3164","R=0.9563, G=0.0395, B=0.1822",3.2438407057159,Compare to Exact,0.683557082048705,0.316442917951295,Ratio1
,,ProjectionK,40.8440110840126,"(0.45605, 0.19281)","W=0.6791, RGB=0.3209","R=0.9607, G=0.0439, B=0.1834",3.6113732951804,Compare to Exact,0.679104610480133,0.320895389519867,Ratio1
,,Ratio1,44.455384379193,"(0.46678, 0.18042)","W=0.7231, RGB=0.2769","R=0.9177, G=0.0000, B=0.1713",0,Compare to Exact,0.723119405025124,0.276880594974876,Ratio1
,,RatioK,44.455384379193,"(0.46678, 0.18042)","W=0.7231, RGB=0.2769","R=0.9177, G=0.0000, B=0.1713",0,Compare to Exact,0.723119405025124,0.276880594974876,Ratio1
,,PureRGB,-16.9392640579732,"(0.38672, 0.27288)","W=0.0000, RGB=1.0000","R=1.6227, G=0.7212, B=0.3694",61.3946484371662,Compare to Exact,0,1,Ratio1
191,"(0.4012, 0.3028, 4.0000)",Exact,54.5333114169247,"(0.55778, 0.22317)","W=0.7675, RGB=0.2325","R=0.8019, G=0.0000, B=0.0721",0,Compare to Exact,0.767520468375359,0.232479531624641,Ratio1
,,Projection1,45.9361809417068,"(0.50672, 0.24914)","W=0.6659, RGB=0.3341","R=0.9010, G=0.1014, B=0.0999",8.5971304752179,Compare to Exact,0.665875833163596,0.334124166836404,Ratio1
,,ProjectionK,45.5951977814472,"(0.50517, 0.24992)","W=0.6619, RGB=0.3381","R=0.9049, G=0.1054, B=0.1010",8.9381136354775,Compare to Exact,0.661882232996594,0.338117767003406,Ratio1
,,Ratio1,54.5333114169247,"(0.55778, 0.22317)","W=0.7675, RGB=0.2325","R=0.8019, G=0.0000, B=0.0721",0,Compare to Exact,0.767520468375359,0.232479531624641,Ratio1
,,RatioK,54.202095675088,"(0.55525, 0.22445)","W=0.7636, RGB=0.2364","R=0.8057, G=0.0039, B=0.0731",0.331215741836694,Compare to Exact,0.763565970461396,0.236434029538604,Ratio1
,,PureRGB,-11.9136787848823,"(0.40120, 0.30280)","W=0.0000, RGB=1.0000","R=1.5501, G=0.7655, B=0.2823",66.446990201807,Compare to Exact,0,1,Ratio1
