序号,目标_x,目标_y,目标_Y,精确法_RGB点_x,精确法_RGB点_y,精确法_RayT,精确法_白色比例,精确法_RGB比例,精确法_R权重,精确法_G权重,精确法_B权重,网格法_RGB点_x,网格法_RGB点_y,网格法_RayT,网格法_白色比例,网格法_RGB比例,网格法_R权重,网格法_G权重,网格法_B权重,纯RGB点_x,纯RGB点_y,纯RGB_白色比例,纯RGB_RGB比例,纯RGB_R权重,纯RGB_G权重,纯RGB_B权重,纯RGB_Ra
11,0.6846,0.3072,1.942,0.688175281110919,0.306875214714417,1.01005549509995,0.0110021072327567,0.988997892767243,1.58822873360772,0.0531840061190857,0,0.686378236886817,0.30703846160422,1.00500129968727,0.00549963549408879,0.994500364505911,1.5908332375313,0.0558485034791716,0.000731820054659254,0.6846,0.3072,0,1,1.59343639896545,0.0585116274262621,0.00146326289326701,55.6185382931569
12,0.654,0.2906,1.907,0.689859872730693,0.285203799544134,1.11035336481049,0.116109463622322,0.883890536377678,1.50552337381487,0,0.0111354466272583,0.668009054295747,0.288491914850209,1.04311075755786,0.0482834708935114,0.951716529106489,1.53704907986626,0.0322518848170491,0.0199936187025031,0.654,0.2906,0,1,1.55949136857136,0.0552111203427443,0.0262995093552929,48.3415529568454
13,0.6282,0.2821,1.915,0.667285894072386,0.274600534356907,1.13065434276834,0.139068820167715,0.860931179832286,1.46549528526226,0,0.0271241435865614,0.647318389002279,0.278431727727442,1.06390798033828,0.0722914277479855,0.927708572252014,1.4966638069591,0.031886472900737,0.0358819531046595,0.6282,0.2821,0,1,1.53040601899542,0.0664059198020611,0.0453629245991554,38.9758759889477
14,0.5211,0.2316,1.835,0.545980322941708,0.217621870610663,1.12954793538697,0.168122615105962,0.831877384894038,1.31076167344766,0,0.130958202165264,0.537272636219286,0.222513976391323,1.08420837771606,0.11385257271248,0.88614742728752,1.33503415609176,0.0248315870605805,0.137778345308271,0.5211,0.2316,0,1,1.38595515178794,0.0769255222538317,0.152086254586631,9.8885671071531
15,0.2082,0.068,1.265,0.203114042401548,0.0565735170459461,1.04208660447475,0.201636905802917,0.798363094197083,0.448565273515217,0,1.04735856244361,0.204956910939114,0.0607138397921412,1.0268367566854,0.130484393584973,0.869515606415027,0.470503359475845,0.0224434187248744,1.05352278094276,0.2082,0.068,0,1,0.51073493744486,0.0636017108357525,1.06482715077757,-130.938885757346
16,0.1486,0.0288,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1486,0.0288,0,1,NaN,NaN,NaN,NaN
17,0.1579,0.1053,1.729,0.1579,0.1053,1,0,1,0.0532144311469309,0.434588408120575,0.943552107374262,0.154605362625036,0.100791533432537,1.01925055663166,0.0608937647492952,0.939106235250705,0.0275527096009237,0.408335581739467,0.936341612394991,0.1579,0.1053,0,1,0.0532144311469309,0.434588408120575,0.943552107374262,21.0431109884352
18,0.1586,0.1409,1.957,0.1586,0.1409,1,0,1,0.0456933104719527,0.552939534215026,0.751628055089942,0.156924364744269,0.138947582072115,1.00983094145572,0.023457099236762,0.976542900763238,0.0345045210419179,0.541493016654041,0.748484200930946,0.1586,0.1409,0,1,0.0456933104719526,0.552939534215026,0.751628055089942,30.1965536923024
19,0.158,0.1664,2.094,0.158,0.1664,1,0,1,0.0352506577234565,0.623717356610741,0.651827494269171,0.154085890623903,0.162438882452008,1.02288350056134,0.0456438035146735,0.954356196485326,0.011954919668261,0.59988501295888,0.645281799274224,0.158,0.1664,0,1,0.0352506577234565,0.623717356610741,0.651827494269171,31.2780645922979
20,0.1609,0.206,2.293,0.1609,0.206,1,0,1,0.0430136112210566,0.712713000823783,0.533371148637144,0.155189993497375,0.201466522504325,1.03395881521976,0.0541278692197876,0.945872130780212,0.0127623869248264,0.681764954807421,0.524871083646815,0.1609,0.206,0,1,0.0430136112210566,0.712713000823783,0.533371148637144,37.4971530879328
