序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
,,投影K点,6.53247939256813,"(0.60228, 0.36675)","W=0.0428, RGB=0.9572","R=1.3169, G=0.2877, B=0.0046",2.44449441125292,对比精确法,0.0427564918253897,0.95724350817461,Proj1
,,同比例,2.81964373314219,"(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",6.15733007067886,对比精确法,2.06248930907097e-16,1,Proj1
,,纯RGB,2.81964373336255,"(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",6.1573300704585,对比精确法,0,1,Proj1
11,"(0.6846, 0.3072, 1.9420)",精确法,57.1328571867902,"(0.68818, 0.30688)","W=0.0110, RGB=0.9890","R=1.5882, G=0.0532, B=0.0000",0,基准,0.0110021072327567,0.988997892767243,PureRGB
,,投影1点,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,PureRGB
,,投影K点,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,PureRGB
,,同比例,55.6185382931569,"(0.68460, 0.30720)","W=0.0000, RGB=1.0000","R=1.5934, G=0.0585, B=0.0015",1.51431889363329,对比精确法,2.45390573719218e-16,1,PureRGB
,,纯RGB,55.6185382931569,"(0.68460, 0.30720)","W=0.0000, RGB=1.0000","R=1.5934, G=0.0585, B=0.0015",1.51431889363329,对比精确法,0,1,PureRGB
12,"(0.6540, 0.2906, 1.9070)",精确法,63.2670500639524,"(0.68986, 0.28520)","W=0.1161, RGB=0.8839","R=1.5055, G=0.0000, B=0.0111",0,基准,0.116109463622322,0.883890536377678,Ratio1
,,投影1点,62.7602580247059,"(0.68826, 0.28544)","W=0.1114, RGB=0.8886","R=1.5077, G=0.0022, B=0.0117",0.506792039246498,对比精确法,0.111435095001773,0.888564904998227,Ratio1
,,投影K点,60.7585915043677,"(0.68250, 0.28631)","W=0.0942, RGB=0.9058","R=1.5157, G=0.0104, B=0.0140",2.5084585595847,对比精确法,0.094198672435263,0.905801327564737,Ratio1
,,同比例,63.2670500639524,"(0.68986, 0.28520)","W=0.1161, RGB=0.8839","R=1.5055, G=0.0000, B=0.0111",0,对比精确法,0.116109463622322,0.883890536377678,Ratio1
,,纯RGB,48.3415529568454,"(0.65400, 0.29060)","W=0.0000, RGB=1.0000","R=1.5595, G=0.0552, B=0.0263",14.925497107107,对比精确法,0,1,Ratio1
13,"(0.6282, 0.2821, 1.9150)",精确法,56.2795511556279,"(0.66729, 0.27460)","W=0.1391, RGB=0.8609","R=1.4655, G=0.0000, B=0.0271",0,基准,0.139068820167714,0.860931179832286,Ratio1
